k1,k2,teicher2015,tuominen2022,joint
30,7,0.393859,0.347617,0.369822
30,8,0.128472,0.108383,0.122469
30,9,0.260628,0.216535,0.239456
30,10,0.259389,0.249308,0.264106
30,11,0.374015,0.122667,0.267626
30,12,0.320104,-0.0832152,0.161148
30,13,0.358792,0.0871357,0.246439
30,14,0.260255,0.206109,0.225329
30,15,0.444606,0.041312,0.311035
30,16,0.484272,0.104263,0.321993
30,17,0.46626,0.164437,0.350981
30,18,0.375067,0.19324,0.303865
30,19,0.313676,0.249091,0.288382
30,20,0.228934,0.0745278,0.170176
30,21,0.322014,-0.00146081,0.19439
30,22,0.349482,0.159144,0.276109
30,23,0.35747,0.180618,0.289177
30,24,0.425663,0.246722,0.359241
30,25,0.555462,0.400104,0.483896
30,26,0.427697,0.191261,0.331792
30,27,0.296364,0.226616,0.266345
30,28,0.353878,0.308745,0.335562
30,29,0.597441,0.621701,0.605908
31,0,0.33247,0.281092,0.324874
31,1,0.366323,0.188076,0.312176
31,2,0.24689,0.313338,0.28089
31,3,0.216201,0.279397,0.252902
31,4,0.266929,0.29118,0.281704
31,5,0.279422,0.283519,0.284554
31,6,0.199454,0.317661,0.266968
31,7,0.365759,0.338777,0.345367
31,8,0.170884,0.137874,0.159715
31,9,0.241785,0.226714,0.230728
31,10,0.189845,0.185081,0.202528
31,11,0.421682,0.2828,0.367122
31,12,0.273161,0.206378,0.253149
31,13,0.432131,0.127425,0.304187
31,14,0.340244,0.174957,0.248517
31,15,0.382004,0.178172,0.297707
31,16,0.557661,0.123607,0.363647
31,17,0.563257,0.203427,0.417907
31,18,0.36614,0.156092,0.282441
31,19,0.517055,0.387854,0.466565
31,20,0.0768382,0.0524269,0.0833488
31,21,0.266137,0.147172,0.222348
31,22,0.30734,0.347835,0.327711
31,23,0.271548,0.252495,0.264779
31,24,0.28247,0.259709,0.270653
31,25,0.412815,0.345484,0.38425
31,26,0.42912,0.376012,0.414162
31,27,0.355665,0.338608,0.346569
31,28,0.29842,0.253557,0.280371
31,29,0.61727,0.549818,0.586043
31,30,0.672532,0.485802,0.600993
32,0,0.327309,0.267635,0.296807
32,1,0.31066,0.29582,0.293965
32,2,0.368061,0.390891,0.373571
32,3,0.185598,0.36625,0.254904
32,4,0.311318,0.169515,0.252233
32,5,0.360185,0.451687,0.391573
32,6,0.204823,0.350417,0.259084
32,7,0.249925,0.36502,0.285761
32,8,0.17616,0.249758,0.200059
32,9,0.237714,0.178915,0.217984
32,10,0.158936,0.292244,0.204675
32,11,0.276916,0.301441,0.279204
32,12,0.268521,0.109587,0.187953
32,13,0.36299,0.0832625,0.22588
32,14,0.305592,0.283325,0.303397
32,15,0.229667,-0.124522,0.10693
32,16,0.305169,0.567447,0.429433
32,17,0.527345,0.361796,0.443217
32,18,0.30326,0.210634,0.276627
32,19,0.30838,0.263059,0.288356
32,20,0.167657,0.233693,0.189175
32,21,0.129591,0.227949,0.168956
32,22,0.0512123,0.314324,0.158358
32,23,0.286723,0.235528,0.266677
32,24,0.295281,0.141093,0.240285
32,25,0.51896,0.465889,0.499783
32,26,0.472963,0.429647,0.454865
32,27,0.225699,0.332819,0.263032
32,28,0.301873,0.273764,0.291072
32,29,0.73131,0.754371,0.739044
32,30,0.556325,0.664108,0.598417
32,31,0.531114,0.451895,0.489394
33,0,0.257714,0.256592,0.264057
33,1,0.212454,0.210573,0.220261
33,2,0.196768,0.250175,0.221497
33,3,0.19883,0.152139,0.183922
33,4,0.40364,0.232813,0.338361
33,5,0.253267,0.344072,0.291686
33,6,0.198613,0.440098,0.312987
33,7,0.353897,0.383067,0.357532
33,8,0.107232,0.182121,0.137585
33,9,0.246757,0.330316,0.277178
33,10,0.126344,0.256197,0.188682
