k1,k2,stat,lb,ub,pval
50,28,-0.010015,-0.004178,0.010377,0.0005
50,29,-0.007898,-0.003084,0.010581,0.0
50,30,-0.001148,-0.003349,0.00646,0.13375
50,31,-0.00423,-0.003607,0.008705,0.01625
50,32,-0.010399,-0.003363,0.011341,0.0
50,33,-0.005385,-0.003741,0.00834,0.00475
50,34,0.000167,-0.002642,0.004984,0.3265
50,35,-0.003276,-0.003485,0.007538,0.02975
50,36,-0.001644,-0.003503,0.00841,0.10375
50,37,0.009541,-0.001381,0.012195,0.8835
50,38,-0.004594,-0.002894,0.011681,0.0075
50,39,0.002957,-0.001248,0.012263,0.2445
50,40,0.0014,-0.001036,0.012678,0.11675
50,41,0.015134,-0.002672,0.005154,1.0
50,42,0.022963,-0.002771,0.007886,1.0
50,43,0.021558,-0.002769,0.006323,1.0
50,44,0.01134,-0.002295,0.005061,1.0
50,45,0.004137,-0.001878,0.007828,0.6915
50,46,-0.001814,-0.002039,0.005901,0.0335
50,47,-0.005581,-0.002635,0.012025,0.002
50,48,-0.011686,-0.002714,0.012076,0.0
50,49,-0.007453,-0.003871,0.010898,0.0025
51,0,0.001179,0.001375,0.015815,0.0195
51,1,0.003769,0.001868,0.015146,0.078
51,2,-0.004118,0.002533,0.016685,0.00025
51,3,0.001103,-0.001139,0.012568,0.10725
51,4,0.000194,-0.002192,0.005549,0.23675
51,5,-0.017308,0.001241,0.015821,0.0
51,6,-0.003942,0.000335,0.014326,0.0005
51,7,-0.005034,-0.001835,0.005232,0.00025
51,8,-0.006572,-0.003377,0.010473,0.00275
51,9,-0.007995,-0.003873,0.01109,0.00125
51,10,-0.006523,-0.002058,0.013598,0.002
51,11,0.002236,-0.001861,0.007371,0.39575
51,12,-2.3e-05,-0.001935,0.005929,0.16675
51,13,0.00011,-0.001746,0.00427,0.24875
51,14,-0.012776,-0.002723,0.013876,0.0
51,15,-0.004098,-0.001968,0.004589,0.00075
51,16,0.000475,-0.002186,0.004748,0.317
51,17,-0.000344,-0.001745,0.00305,0.21175
51,18,-0.004902,-0.00312,0.008424,0.0055
51,19,-0.002185,-0.002656,0.005262,0.0355
51,20,-0.005474,-0.001045,0.012314,0.0
51,21,-0.005256,-0.002135,0.007573,0.00025
51,22,-0.004409,-0.002178,0.004948,0.00025
51,23,-0.007519,-0.001975,0.009867,0.00025
51,24,-0.001032,-0.001831,0.004732,0.0775
51,25,-0.008215,-0.000957,0.012232,0.0
51,26,-0.006409,-0.001062,0.011055,0.0
51,27,-0.009738,-0.002631,0.012968,0.0
51,28,-0.004629,-0.003333,0.012411,0.016
51,29,-0.007646,-0.003316,0.011964,0.002
51,30,-0.003331,-0.00295,0.007748,0.0205
51,31,-0.00737,-0.002638,0.009878,0.0005
51,32,-0.009399,-0.003658,0.012549,0.0
51,33,-0.004693,-0.003419,0.009168,0.00775
51,34,-0.000274,-0.002187,0.005415,0.1945
51,35,-0.005897,-0.002969,0.008396,0.0015
51,36,-0.004776,-0.003381,0.009089,0.00725
51,37,0.019863,-0.000981,0.014052,0.9985
51,38,0.002588,-0.001729,0.014092,0.18575
51,39,-0.002156,-7.2e-05,0.014669,0.0045
51,40,0.005529,-0.000307,0.014709,0.341
51,41,0.014104,-0.002792,0.00557,1.0
51,42,0.029213,-0.003347,0.008184,1.0
51,43,0.018798,-0.002211,0.007543,1.0
51,44,0.006892,-0.002659,0.005218,0.9935
51,45,0.00532,-0.001813,0.008411,0.773
51,46,0.000166,-0.001934,0.006242,0.1755
51,47,-0.004289,-0.002316,0.013299,0.00675
51,48,-0.006879,-0.002929,0.013293,0.00075
51,49,-0.007725,-0.00263,0.013126,0.00025
51,50,0.057145,-0.002488,0.01065,1.0
