k1,k2,sk,lb,ub,pval
24,18,0.897059,0.876225,0.913603,0.5895
24,19,0.94424,0.928922,0.957108,0.50625
24,20,0.863442,0.832211,0.873239,0.85025
24,21,0.9406,0.916718,0.946111,0.87825
24,22,0.958971,0.941212,0.965707,0.756
24,23,0.922841,0.876914,0.913043,0.999
25,0,0.597793,0.575107,0.631514,0.32675
25,1,0.639485,0.621704,0.675046,0.275
25,2,0.553648,0.565297,0.621704,0.00375
25,3,0.475169,0.464746,0.523605,0.103
25,4,0.421214,0.392397,0.450644,0.4875
25,5,0.560049,0.553922,0.610294,0.049
25,6,0.494485,0.488358,0.547794,0.06975
25,7,0.418505,0.389093,0.447917,0.46625
25,8,0.591299,0.584559,0.637868,0.0555
25,9,0.491422,0.470588,0.527574,0.32975
25,10,0.502451,0.507353,0.564951,0.0105
25,11,0.433211,0.408088,0.467525,0.42025
25,12,0.418505,0.394608,0.453431,0.3435
25,13,0.408088,0.382966,0.441176,0.39025
25,14,0.514059,0.491709,0.553713,0.27975
25,15,0.410959,0.378515,0.439798,0.56575
25,16,0.415285,0.379236,0.440519,0.62425
25,17,0.403749,0.371305,0.432588,0.55625
25,18,0.450644,0.419988,0.47946,0.49125
25,19,0.418148,0.390558,0.449418,0.4285
25,20,0.472426,0.461397,0.519608,0.12175
25,21,0.433824,0.409926,0.469363,0.346
25,22,0.415441,0.389706,0.447304,0.44275
25,23,0.439951,0.43076,0.488971,0.08775
25,24,0.408701,0.386029,0.44424,0.33375
26,0,0.534641,0.537707,0.59534,0.0145
26,1,0.636419,0.600245,0.653587,0.744
26,2,0.50889,0.522992,0.580012,0.00125
26,3,0.412017,0.405273,0.465359,0.056
26,4,0.353158,0.323115,0.382587,0.51775
26,5,0.514706,0.512868,0.572917,0.029
26,6,0.434436,0.43076,0.488971,0.054
26,7,0.346201,0.320466,0.379902,0.42675
26,8,0.602328,0.602941,0.655025,0.03075
26,9,0.439951,0.422794,0.481618,0.2005
26,10,0.460784,0.465686,0.52451,0.01
26,11,0.367034,0.339461,0.398897,0.4845
26,12,0.356005,0.324142,0.382966,0.52325
26,13,0.340686,0.309436,0.367647,0.49225
26,14,0.457102,0.440519,0.504686,0.153
26,15,0.335256,0.304975,0.366258,0.44475
26,16,0.336698,0.306417,0.368421,0.42175
26,17,0.328046,0.299207,0.359769,0.4375
26,18,0.394237,0.358676,0.418761,0.67725
26,19,0.348253,0.321888,0.380135,0.3955
26,20,0.401348,0.400735,0.459559,0.0275
26,21,0.356618,0.340074,0.39951,0.1795
26,22,0.339461,0.318015,0.376225,0.29975
26,23,0.386029,0.365809,0.425858,0.24725
26,24,0.340074,0.3125,0.370711,0.38625
26,25,0.816176,0.609681,0.663603,1.0
27,0,0.61496,0.591048,0.646229,0.3715
27,1,0.62477,0.603311,0.657879,0.3765
27,2,0.59534,0.592888,0.649295,0.043
27,3,0.572042,0.536481,0.596567,0.578
27,4,0.530349,0.496015,0.559779,0.527
27,5,0.587623,0.582108,0.637255,0.0665
