	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,337]	-1.9	0.0078	0.62	-3.0	-1.9	-0.99	6371.0	1.8	1.0
theta[1,338]	-1.0	0.0051	0.44	-1.8	-1.0	-0.35	7686.0	2.1	1.0
theta[1,339]	-1.9	0.0071	0.62	-3.0	-1.9	-0.96	7476.0	2.1	1.0
theta[1,340]	-0.023	0.0032	0.29	-0.53	-0.012	0.43	8351.0	2.3	1.0
theta[1,341]	0.63	0.0027	0.25	0.22	0.63	1.0	8516.0	2.4	1.0
theta[1,342]	0.72	0.0027	0.24	0.33	0.73	1.1	8420.0	2.3	1.0
theta[1,343]	1.3	0.0025	0.23	0.88	1.3	1.7	8689.0	2.4	1.0
theta[1,344]	-1.2	0.0061	0.49	-2.1	-1.2	-0.47	6499.0	1.8	1.0
theta[1,345]	-0.28	0.0039	0.33	-0.85	-0.26	0.24	7220.0	2.0	1.0
theta[1,346]	-0.13	0.0035	0.31	-0.66	-0.12	0.35	7691.0	2.1	1.0
theta[1,347]	-1.4	0.0057	0.52	-2.3	-1.4	-0.58	8148.0	2.3	1.0
theta[1,348]	-0.97	0.0052	0.44	-1.7	-0.94	-0.31	6932.0	1.9	1.0
theta[1,349]	-0.37	0.0037	0.35	-0.96	-0.36	0.16	8912.0	2.5	1.0
theta[1,350]	-0.013	0.0034	0.3	-0.53	-0.0025	0.46	7652.0	2.1	1.0
theta[1,351]	-0.4	0.0042	0.34	-0.98	-0.38	0.11	6345.0	1.8	1.0
theta[1,352]	-0.29	0.0032	0.32	-0.84	-0.28	0.22	10060.0	2.8	1.0
theta[1,353]	-1.3	0.0056	0.52	-2.2	-1.2	-0.46	8730.0	2.4	1.0
theta[1,354]	-1.1	0.0052	0.46	-1.9	-1.1	-0.46	7654.0	2.1	1.0
theta[1,355]	0.75	0.0027	0.24	0.35	0.75	1.1	8029.0	2.2	1.0
theta[1,356]	-0.47	0.0039	0.35	-1.1	-0.45	0.066	8155.0	2.3	1.0
theta[1,357]	-1.0	0.0049	0.43	-1.8	-0.98	-0.33	7781.0	2.2	1.0
theta[1,358]	-1.9	0.0072	0.61	-3.0	-1.9	-0.99	7225.0	2.0	1.0
theta[1,359]	-0.51	0.0038	0.36	-1.1	-0.49	0.051	8690.0	2.4	1.0
theta[1,360]	-0.87	0.0043	0.4	-1.6	-0.85	-0.25	8566.0	2.4	1.0
theta[1,361]	-0.19	0.0034	0.31	-0.71	-0.18	0.29	7975.0	2.2	1.0
theta[1,362]	0.6	0.0028	0.25	0.18	0.61	1.0	8381.0	2.3	1.0
theta[1,363]	0.61	0.0028	0.25	0.2	0.61	1.0	8211.0	2.3	1.0
theta[1,364]	-1.3	0.0058	0.51	-2.2	-1.2	-0.51	7515.0	2.1	1.0
theta[1,365]	-1.3	0.0056	0.5	-2.2	-1.3	-0.59	7801.0	2.2	1.0
theta[1,366]	-0.049	0.0032	0.29	-0.53	-0.041	0.4	7963.0	2.2	1.0
theta[1,367]	0.0012	0.0032	0.28	-0.48	0.011	0.45	7923.0	2.2	1.0
theta[1,368]	0.79	0.0028	0.23	0.4	0.78	1.2	7075.0	2.0	1.0
theta[1,369]	0.2	0.0031	0.28	-0.29	0.2	0.66	8535.0	2.4	1.0
theta[1,370]	-1.9	0.0071	0.61	-3.0	-1.9	-0.95	7550.0	2.1	1.0
theta[1,371]	-1.9	0.0073	0.61	-2.9	-1.9	-1.0	7008.0	1.9	1.0
theta[1,372]	-1.9	0.0072	0.62	-3.0	-1.9	-0.97	7482.0	2.1	1.0
theta[1,373]	-1.9	0.0071	0.6	-2.9	-1.9	-0.99	6993.0	1.9	1.0
theta[1,374]	0.34	0.0029	0.25	-0.076	0.35	0.74	7526.0	2.1	1.0
theta[1,375]	-0.28	0.0036	0.32	-0.82	-0.27	0.21	7579.0	2.1	1.0
theta[1,376]	-1.2	0.0055	0.48	-2.1	-1.2	-0.49	7705.0	2.1	1.0
theta[1,377]	-1.1	0.0056	0.46	-1.9	-1.0	-0.36	6705.0	1.9	1.0
theta[1,378]	-0.29	0.0038	0.32	-0.84	-0.27	0.2	7145.0	2.0	1.0
theta[1,379]	-0.56	0.0049	0.38	-1.2	-0.53	0.02	5978.0	1.7	1.0
theta[1,380]	0.13	0.003	0.28	-0.34	0.14	0.57	8810.0	2.4	1.0
theta[1,381]	-0.27	0.0038	0.33	-0.83	-0.25	0.25	7573.0	2.1	1.0
theta[1,382]	-1.0	0.0053	0.44	-1.8	-0.99	-0.34	6910.0	1.9	1.0
theta[1,383]	-0.89	0.0051	0.42	-1.6	-0.86	-0.25	6556.0	1.8	1.0
theta[1,384]	-1.6	0.006	0.55	-2.6	-1.6	-0.77	8508.0	2.4	1.0
theta[1,385]	0.34	0.0028	0.26	-0.1	0.35	0.75	8255.0	2.3	1.0
theta[1,386]	-1.3	0.0062	0.51	-2.1	-1.2	-0.48	6752.0	1.9	1.0
theta[1,387]	-1.3	0.006	0.52	-2.2	-1.3	-0.53	7411.0	2.1	1.0
theta[1,388]	0.32	0.0028	0.26	-0.12	0.33	0.74	8790.0	2.4	1.0
theta[1,389]	0.82	0.0024	0.23	0.43	0.82	1.2	9614.0	2.7	1.0
theta[1,390]	0.95	0.0027	0.24	0.57	0.96	1.3	7615.0	2.1	1.0
theta[1,391]	-1.1	0.0052	0.46	-1.9	-1.0	-0.36	7870.0	2.2	1.0
theta[1,392]	0.19	0.0029	0.27	-0.28	0.2	0.62	8540.0	2.4	1.0
theta[1,393]	-1.9	0.0068	0.6	-3.0	-1.9	-1.0	7779.0	2.2	1.0
theta[1,394]	0.79	0.0025	0.23	0.41	0.79	1.2	8124.0	2.2	1.0
theta[1,395]	-0.34	0.0034	0.34	-0.94	-0.33	0.19	9995.0	2.8	1.0
theta[1,396]	-1.0	0.0052	0.45	-1.8	-1.0	-0.37	7454.0	2.1	1.0
theta[1,397]	-1.0	0.0053	0.44	-1.8	-1.0	-0.35	7085.0	2.0	1.0
theta[1,398]	-1.1	0.0051	0.46	-1.9	-1.1	-0.39	7972.0	2.2	1.0
theta[1,399]	-0.14	0.0033	0.31	-0.66	-0.12	0.34	8864.0	2.5	1.0
theta[1,400]	0.46	0.0027	0.25	0.056	0.47	0.86	8559.0	2.4	1.0
theta[1,401]	0.85	0.0025	0.23	0.46	0.86	1.2	8787.0	2.4	1.0
theta[1,402]	0.3	0.003	0.26	-0.15	0.31	0.74	7853.0	2.2	1.0
theta[1,403]	-1.6	0.006	0.54	-2.5	-1.6	-0.79	8163.0	2.3	1.0
theta[1,404]	-0.24	0.0035	0.33	-0.79	-0.22	0.29	8757.0	2.4	1.0
theta[1,405]	0.44	0.0027	0.25	0.019	0.44	0.85	8586.0	2.4	1.0
theta[1,406]	0.11	0.0032	0.28	-0.36	0.13	0.55	7370.0	2.0	1.0
theta[1,407]	0.86	0.0024	0.23	0.47	0.86	1.2	9367.0	2.6	1.0
theta[1,408]	-1.3	0.0055	0.49	-2.1	-1.3	-0.54	8149.0	2.3	1.0
theta[1,409]	-1.9	0.0068	0.62	-3.0	-1.9	-0.94	8381.0	2.3	1.0
theta[1,410]	-1.1	0.0056	0.46	-1.9	-1.1	-0.41	6788.0	1.9	1.0
theta[1,411]	-0.67	0.0043	0.37	-1.3	-0.65	-0.099	7382.0	2.0	1.0
theta[1,412]	-1.6	0.0062	0.55	-2.5	-1.6	-0.76	7941.0	2.2	1.0
theta[1,413]	-0.83	0.005	0.41	-1.5	-0.8	-0.22	6928.0	1.9	1.0
theta[1,414]	1.3	0.0026	0.24	0.93	1.3	1.7	8532.0	2.4	1.0
theta[1,415]	-1.2	0.0057	0.5	-2.1	-1.2	-0.45	7875.0	2.2	1.0
theta[1,416]	-0.73	0.0048	0.4	-1.4	-0.7	-0.12	7096.0	2.0	1.0
theta[1,417]	-1.9	0.0075	0.62	-3.0	-1.9	-0.96	6914.0	1.9	1.0
theta[1,418]	0.27	0.0028	0.26	-0.17	0.27	0.69	8355.0	2.3	1.0
theta[1,419]	-1.9	0.0073	0.61	-3.0	-1.9	-1.0	6926.0	1.9	1.0
theta[1,420]	-1.1	0.0048	0.45	-1.9	-1.0	-0.38	8643.0	2.4	1.0
theta[1,421]	-0.59	0.0045	0.37	-1.2	-0.57	-0.015	6953.0	1.9	1.0
theta[1,422]	0.42	0.0027	0.26	-0.0045	0.43	0.84	9020.0	2.5	1.0
theta[1,423]	-1.6	0.0062	0.56	-2.6	-1.6	-0.75	8005.0	2.2	1.0
theta[1,424]	-0.14	0.0034	0.3	-0.64	-0.13	0.34	7600.0	2.1	1.0
theta[1,425]	0.49	0.0028	0.26	0.052	0.49	0.92	8696.0	2.4	1.0
theta[1,426]	-1.1	0.0055	0.46	-1.9	-1.1	-0.4	7098.0	2.0	1.0
theta[1,427]	-0.14	0.0037	0.31	-0.66	-0.12	0.35	7023.0	1.9	1.0
theta[1,428]	-0.15	0.0034	0.32	-0.72	-0.14	0.36	8927.0	2.5	1.0
theta[1,429]	0.82	0.0026	0.23	0.44	0.82	1.2	7962.0	2.2	1.0
theta[1,430]	-1.9	0.0072	0.62	-3.0	-1.9	-0.97	7359.0	2.0	1.0
theta[1,431]	-1.1	0.0054	0.45	-1.9	-1.1	-0.4	6962.0	1.9	1.0
theta[1,432]	-1.4	0.0062	0.52	-2.3	-1.4	-0.6	6932.0	1.9	1.0
theta[1,433]	-1.9	0.0071	0.6	-3.0	-1.9	-0.98	7041.0	1.9	1.0
theta[1,434]	1.5	0.0027	0.23	1.1	1.5	1.8	7327.0	2.0	1.0
theta[1,435]	0.46	0.0028	0.25	0.026	0.46	0.87	7994.0	2.2	1.0
theta[1,436]	-0.33	0.0036	0.33	-0.89	-0.31	0.18	8172.0	2.3	1.0
theta[1,437]	-0.4	0.0038	0.34	-0.99	-0.38	0.13	8234.0	2.3	1.0
theta[1,438]	0.69	0.0026	0.23	0.3	0.69	1.1	7843.0	2.2	1.0
theta[1,439]	-1.6	0.0064	0.54	-2.5	-1.6	-0.78	7035.0	1.9	1.0
theta[1,440]	-1.9	0.0078	0.63	-3.0	-1.9	-0.97	6555.0	1.8	1.0
theta[1,441]	-0.72	0.0046	0.38	-1.4	-0.71	-0.14	6967.0	1.9	1.0
theta[1,442]	1.1	0.0025	0.23	0.75	1.1	1.5	8316.0	2.3	1.0
theta[1,443]	-0.5	0.0039	0.36	-1.1	-0.48	0.059	8652.0	2.4	1.0
