k1,k2,mu,lb,ub,pval
44,20,-0.035818,-0.079331,0.011958,0.18075
44,21,0.027922,-0.022727,0.077191,0.74625
44,22,-0.024395,-0.066185,0.020783,0.286
44,23,-0.014013,-0.047236,0.020626,0.34475
44,24,-0.007144,-0.050203,0.033425,0.44125
44,25,-0.000908,-0.026959,0.026036,0.48375
44,26,0.004951,-0.028836,0.036437,0.5565
44,27,-0.044139,-0.069923,-0.015488,0.05925
44,28,-0.026395,-0.051534,0.000411,0.17875
44,29,-0.037024,-0.063549,-0.010395,0.1195
44,30,-0.019632,-0.05366,0.014718,0.2955
44,31,0.018157,-0.012492,0.046792,0.69525
44,32,-0.02277,-0.055787,0.010168,0.232
44,33,-0.005049,-0.044173,0.033537,0.4575
44,34,0.037396,-0.008938,0.086495,0.822
44,35,-0.030651,-0.074867,0.014822,0.22075
44,36,-0.013136,-0.059176,0.031294,0.36075
44,37,-0.014895,-0.04404,0.013131,0.30675
44,38,-0.018353,-0.046345,0.007007,0.271
44,39,-0.001006,-0.025957,0.026221,0.479
44,40,0.01555,-0.012458,0.042662,0.689
44,41,0.067946,0.005185,0.135612,0.9055
44,42,0.058005,-0.001077,0.116862,0.89975
44,43,0.070363,-0.032077,0.170508,0.817
45,0,0.02187,-0.012035,0.053539,0.7685
45,1,-0.003787,-0.028091,0.020309,0.432
45,2,-0.069181,-0.094646,-0.045996,0.00925
45,3,-0.038501,-0.061625,-0.016038,0.1495
45,4,-0.073903,-0.096219,-0.049573,0.03475
45,5,-0.036094,-0.056087,-0.016538,0.10725
45,6,-0.034259,-0.062194,-0.006083,0.17525
45,7,-0.019999,-0.054132,0.014588,0.34625
45,8,-0.001841,-0.035611,0.032004,0.4605
45,9,0.009136,-0.017792,0.039038,0.61525
45,10,0.014951,-0.012129,0.041014,0.6855
45,11,-0.062508,-0.092221,-0.033344,0.0705
45,12,-0.010319,-0.037214,0.01735,0.417
45,13,-0.029078,-0.057129,-0.003088,0.25975
45,14,-0.036979,-0.071671,0.001477,0.16175
45,15,0.012987,-0.024855,0.052849,0.61275
45,16,-0.039681,-0.082046,0.004381,0.21675
45,17,-0.005394,-0.044584,0.037904,0.47275
45,18,0.03663,0.014606,0.0582,0.85525
45,19,-0.029885,-0.056707,-0.003565,0.23325
45,20,-0.020684,-0.064208,0.021405,0.3065
45,21,-0.00478,-0.050155,0.044242,0.453
45,22,0.036441,-0.000963,0.075809,0.79675
45,23,-0.002986,-0.028139,0.021513,0.474
45,24,-0.019264,-0.046491,0.010294,0.331
45,25,-0.009272,-0.030995,0.012096,0.3525
45,26,0.029552,0.001552,0.059607,0.879
45,27,-0.033767,-0.054469,-0.013051,0.09175
45,28,-0.017767,-0.037778,0.005237,0.259
45,29,-0.005927,-0.025623,0.01393,0.41425
45,30,0.050228,0.028753,0.074363,0.91725
45,31,0.001734,-0.017395,0.02231,0.53125
45,32,-0.026912,-0.05868,0.004694,0.18975
45,33,0.005088,-0.032636,0.045682,0.56525
45,34,-0.012717,-0.055208,0.024887,0.379
45,35,0.002952,-0.042169,0.044447,0.53325
45,36,0.028122,-0.013258,0.072589,0.7615
45,37,0.020489,0.000463,0.041185,0.73875
45,38,-0.005872,-0.022226,0.010327,0.422
45,39,-0.021051,-0.036004,-0.005321,0.19725
45,40,0.02235,0.003543,0.044193,0.75725
45,41,0.007356,-0.036516,0.052085,0.57
45,42,-0.021003,-0.065526,0.022908,0.3085
45,43,0.010678,-0.061102,0.078518,0.5785
45,44,-0.053283,-0.104517,-0.001253,0.13175
46,0,-0.001532,-0.030446,0.029342,0.47
46,1,-0.039598,-0.062315,-0.017994,0.05025
46,2,-0.011785,-0.031876,0.008997,0.32125
46,3,-0.006694,-0.029753,0.014755,0.421
46,4,0.025615,0.002335,0.049414,0.71725
46,5,-0.004796,-0.021234,0.011957,0.4255
46,6,0.00449,-0.021882,0.03123,0.53975
46,7,-0.009512,-0.046576,0.025567,0.43375
46,8,-0.009673,-0.037872,0.019394,0.35
46,9,-0.012546,-0.041362,0.015564,0.3495
46,10,0.033153,0.008924,0.058108,0.86
46,11,-0.02812,-0.059109,0.001701,0.278
