k1,k2,mu,lb,ub,pval
32,0,-0.006066,-0.052527,0.042253,0.43875
32,1,-0.009408,-0.052143,0.036352,0.4105
32,2,0.034119,-0.006959,0.076237,0.80475
32,3,-0.055118,-0.09344,-0.018251,0.08025
32,4,-0.004422,-0.03631,0.030923,0.4575
32,5,0.042489,0.003419,0.081947,0.85625
32,6,-0.062383,-0.104387,-0.023025,0.05875
32,7,-0.03203,-0.070716,0.005982,0.20775
32,8,-0.007878,-0.058782,0.042184,0.43575
32,9,0.034312,-0.008788,0.077015,0.8115
32,10,-0.036169,-0.078949,0.007004,0.1735
32,11,-0.024667,-0.065985,0.015528,0.2725
32,12,-0.016623,-0.055391,0.021121,0.32275
32,13,0.012659,-0.025738,0.051943,0.634
32,14,0.001024,-0.050805,0.049553,0.5055
32,15,-0.03953,-0.083377,0.004288,0.1765
32,16,-0.018219,-0.062361,0.024727,0.32675
32,17,0.028578,-0.010866,0.064836,0.77175
32,18,0.024197,-0.016565,0.061526,0.73325
32,19,0.013503,-0.022504,0.055796,0.64275
32,20,-0.019356,-0.06571,0.029281,0.3165
32,21,-0.026337,-0.077745,0.022312,0.266
32,22,-0.054772,-0.097966,-0.006499,0.0875
32,23,0.032971,-0.011214,0.070701,0.79775
32,24,0.005409,-0.032917,0.043001,0.55775
32,25,0.080468,0.038194,0.124436,0.9835
32,26,0.060628,0.013,0.108514,0.93575
32,27,-0.055507,-0.097092,-0.014733,0.07625
32,28,0.000981,-0.040531,0.040813,0.503
32,29,0.230538,0.184613,0.279537,1.0
32,30,-0.007787,-0.047354,0.033293,0.40775
32,31,0.010273,-0.032966,0.054218,0.593
33,0,0.002954,-0.052293,0.049823,0.5345
33,1,-0.033867,-0.082837,0.01095,0.2075
33,2,-0.052305,-0.097176,-0.004123,0.10875
33,3,0.004914,-0.040866,0.052852,0.54475
33,4,0.034602,-0.025102,0.091813,0.77125
33,5,-0.004186,-0.047612,0.043352,0.48625
33,6,0.011685,-0.041704,0.061036,0.59725
33,7,0.017786,-0.039509,0.072881,0.64775
33,8,-0.002108,-0.053733,0.046596,0.4755
33,9,0.027682,-0.023126,0.073074,0.74225
33,10,-0.028443,-0.078986,0.01651,0.25275
33,11,-0.008163,-0.059233,0.038442,0.441
33,12,0.009065,-0.03611,0.056051,0.58525
33,13,0.000314,-0.048099,0.040632,0.50975
33,14,0.026778,-0.032655,0.083982,0.707
33,15,-0.006608,-0.0671,0.060148,0.45725
33,16,-0.005002,-0.06554,0.054188,0.47425
33,17,0.018207,-0.048357,0.079892,0.6295
33,18,0.005813,-0.046454,0.052199,0.56325
33,19,-0.003388,-0.053011,0.047639,0.4725
33,20,0.003002,-0.052781,0.057463,0.53075
33,21,-0.032817,-0.084741,0.018404,0.23525
33,22,0.005123,-0.045394,0.054302,0.5475
33,23,0.002637,-0.046727,0.050998,0.52475
33,24,0.010013,-0.041293,0.063586,0.59075
33,25,0.035716,-0.008449,0.07565,0.8285
33,26,-0.009748,-0.056658,0.035941,0.40325
