name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[2,7]	0.0603	0.0065	0.5	-0.761	0.0582	0.886	5913.0	3.85	0.999
theta[3,7]	-0.46	0.0103	0.767	-1.82	-0.402	0.691	5598.0	3.65	0.999
theta[1,8]	0.8	0.00391	0.252	0.393	0.803	1.2	4169.0	2.72	1.0
theta[2,8]	-0.0666	0.00713	0.478	-0.855	-0.0707	0.723	4495.0	2.93	1.0
theta[3,8]	0.733	0.0083	0.525	-0.229	0.771	1.52	4012.0	2.61	1.0
theta[1,9]	1.1	0.00328	0.241	0.699	1.1	1.5	5401.0	3.52	0.999
theta[2,9]	-0.137	0.00622	0.476	-0.911	-0.139	0.655	5867.0	3.82	1.0
theta[3,9]	-0.496	0.0101	0.774	-1.88	-0.434	0.664	5879.0	3.83	1.0
theta[1,10]	0.826	0.00379	0.25	0.407	0.83	1.23	4351.0	2.84	1.0
theta[2,10]	-1.71	0.00769	0.588	-2.76	-1.68	-0.808	5837.0	3.8	1.0
theta[3,10]	0.658	0.00741	0.526	-0.281	0.697	1.46	5042.0	3.29	0.999
theta[1,11]	1.4	0.00372	0.24	1.01	1.4	1.81	4152.0	2.71	1.0
theta[2,11]	-0.417	0.00657	0.483	-1.19	-0.43	0.391	5392.0	3.51	0.999
theta[3,11]	0.968	0.00573	0.436	0.236	0.979	1.68	5793.0	3.78	0.999
theta[1,12]	-0.7	0.00596	0.439	-1.47	-0.67	-0.039	5437.0	3.54	0.999
theta[2,12]	-1.11	0.00937	0.685	-2.29	-1.06	-0.0818	5337.0	3.48	1.0
theta[3,12]	-0.166	0.0118	0.875	-1.69	-0.113	1.19	5478.0	3.57	0.999
theta[1,13]	3.08	0.00562	0.346	2.55	3.07	3.69	3795.0	2.47	1.0
theta[2,13]	1.45	0.00899	0.664	0.389	1.42	2.58	5457.0	3.56	1.0
theta[3,13]	0.15	0.00735	0.473	-0.632	0.154	0.924	4145.0	2.7	1.0
theta[1,14]	1.63	0.00354	0.233	1.25	1.63	2.0	4341.0	2.83	1.0
theta[2,14]	0.066	0.00639	0.478	-0.703	0.0684	0.838	5578.0	3.64	1.0
theta[3,14]	0.284	0.00691	0.518	-0.598	0.302	1.07	5625.0	3.67	0.999
theta[1,15]	1.17	0.00314	0.233	0.783	1.17	1.55	5494.0	3.58	1.0
theta[2,15]	0.102	0.00666	0.484	-0.683	0.0935	0.911	5290.0	3.45	1.0
theta[3,15]	-0.512	0.0118	0.77	-1.88	-0.454	0.638	4282.0	2.79	1.0
theta[1,16]	-0.513	0.00654	0.405	-1.22	-0.473	0.105	3830.0	2.5	1.0
theta[2,16]	-0.13	0.00701	0.492	-0.963	-0.12	0.664	4924.0	3.21	1.0
theta[3,16]	-0.177	0.0119	0.9	-1.7	-0.125	1.23	5735.0	3.74	1.0
theta[1,17]	-0.114	0.00486	0.326	-0.665	-0.0952	0.386	4503.0	2.93	1.0
theta[2,17]	-0.886	0.00699	0.529	-1.78	-0.865	-0.0662	5713.0	3.72	0.999
theta[3,17]	-0.241	0.0112	0.857	-1.72	-0.195	1.08	5813.0	3.79	1.0
theta[1,18]	0.801	0.00333	0.243	0.391	0.805	1.2	5310.0	3.46	0.999
theta[2,18]	-0.508	0.00653	0.471	-1.27	-0.515	0.276	5201.0	3.39	1.0
theta[3,18]	-0.413	0.0106	0.773	-1.78	-0.368	0.747	5335.0	3.48	0.999
theta[1,19]	-0.524	0.00553	0.407	-1.23	-0.5	0.0963	5425.0	3.54	1.0
theta[2,19]	-0.0921	0.00649	0.492	-0.898	-0.099	0.734	5754.0	3.75	1.0
theta[3,19]	-0.172	0.0119	0.887	-1.7	-0.132	1.21	5547.0	3.62	1.0
theta[1,20]	-0.457	0.00614	0.402	-1.16	-0.424	0.149	4293.0	2.8	1.0
theta[2,20]	-0.451	0.0079	0.509	-1.31	-0.434	0.371	4155.0	2.71	1.0
theta[3,20]	-0.183	0.0116	0.893	-1.76	-0.122	1.2	5912.0	3.85	0.999
theta[1,21]	-1.15	0.00867	0.52	-2.08	-1.12	-0.352	3605.0	2.35	1.0
theta[2,21]	-0.0508	0.00817	0.549	-0.989	-0.0412	0.821	4516.0	2.94	1.0
theta[3,21]	-0.108	0.0118	0.93	-1.72	-0.0719	1.36	6211.0	4.05	1.0
theta[1,22]	-0.427	0.00491	0.377	-1.09	-0.4	0.146	5887.0	3.84	0.999
theta[2,22]	0.593	0.00642	0.485	-0.191	0.58	1.41	5714.0	3.72	1.0
theta[3,22]	-0.18	0.0111	0.87	-1.65	-0.147	1.16	6111.0	3.98	0.999
theta[1,23]	0.382	0.00404	0.264	-0.0541	0.383	0.808	4258.0	2.78	1.0
theta[2,23]	-0.559	0.0061	0.456	-1.3	-0.557	0.212	5599.0	3.65	0.999
theta[3,23]	-0.317	0.0112	0.838	-1.75	-0.273	0.971	5609.0	3.66	1.0
theta[1,24]	-1.45	0.00931	0.583	-2.47	-1.41	-0.565	3918.0	2.55	1.0
theta[2,24]	0.193	0.00861	0.548	-0.736	0.202	1.08	4046.0	2.64	1.0
theta[3,24]	-0.0581	0.0108	0.905	-1.53	-0.031	1.37	7002.0	4.56	1.0
theta[1,25]	0.018	0.00459	0.304	-0.509	0.0319	0.489	4379.0	2.85	1.0
theta[2,25]	-1.01	0.0078	0.536	-1.94	-0.987	-0.174	4714.0	3.07	1.0
theta[3,25]	-0.259	0.0109	0.858	-1.74	-0.206	1.06	6158.0	4.01	0.999
theta[1,26]	-1.24	0.0083	0.553	-2.21	-1.19	-0.404	4441.0	2.89	1.0
theta[2,26]	-0.422	0.00877	0.61	-1.49	-0.388	0.51	4842.0	3.16	0.999
theta[3,26]	-0.118	0.012	0.945	-1.68	-0.103	1.39	6170.0	4.02	0.999
theta[1,27]	-0.0195	0.00426	0.313	-0.563	-0.00341	0.463	5416.0	3.53	1.0
theta[2,27]	0.127	0.00685	0.475	-0.638	0.133	0.916	4799.0	3.13	1.0
theta[3,27]	-0.251	0.0112	0.857	-1.75	-0.209	1.08	5808.0	3.79	1.0
theta[1,28]	0.9	0.0031	0.24	0.503	0.908	1.29	6008.0	3.92	1.0
theta[2,28]	0.24	0.00597	0.494	-0.566	0.235	1.06	6856.0	4.47	0.999
theta[3,28]	-0.432	0.0108	0.789	-1.84	-0.363	0.752	5318.0	3.47	0.999
theta[1,29]	0.782	0.00348	0.242	0.384	0.78	1.18	4836.0	3.15	1.0
theta[2,29]	0.287	0.00609	0.491	-0.51	0.282	1.11	6513.0	4.24	0.999
theta[3,29]	-0.403	0.0111	0.789	-1.79	-0.331	0.782	5042.0	3.29	0.999
theta[1,30]	-0.364	0.00508	0.366	-0.969	-0.342	0.191	5186.0	3.38	1.0
theta[2,30]	-1.23	0.00954	0.637	-2.35	-1.19	-0.247	4461.0	2.91	0.999
theta[3,30]	-0.225	0.0125	0.889	-1.79	-0.176	1.14	5099.0	3.32	1.0
theta[1,31]	0.652	0.00357	0.244	0.246	0.656	1.05	4681.0	3.05	1.0
theta[2,31]	1.72	0.00652	0.502	0.892	1.72	2.55	5923.0	3.86	1.0
theta[3,31]	-0.366	0.0106	0.802	-1.79	-0.318	0.826	5680.0	3.7	0.999
theta[1,32]	-0.62	0.00598	0.425	-1.35	-0.588	0.0274	5039.0	3.28	1.0
theta[2,32]	-0.0298	0.00651	0.493	-0.832	-0.0306	0.773	5733.0	3.74	1.0
theta[3,32]	-0.164	0.0118	0.892	-1.71	-0.134	1.23	5763.0	3.76	1.0
theta[1,33]	-0.567	0.00645	0.4	-1.27	-0.556	0.0357	3837.0	2.5	1.0
theta[2,33]	-0.0475	0.00772	0.486	-0.852	-0.0355	0.763	3969.0	2.59	1.0
theta[3,33]	2.47	0.00681	0.444	1.76	2.46	3.2	4252.0	2.77	0.999
theta[1,34]	-0.341	0.00561	0.365	-0.984	-0.318	0.212	4233.0	2.76	1.0
theta[2,34]	-1.22	0.00911	0.619	-2.31	-1.17	-0.298	4613.0	3.01	0.999
theta[3,34]	1.24	0.00924	0.564	0.246	1.28	2.09	3727.0	2.43	0.999
