sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
50,15,60,70,74,85,73,71,63,53,47,45,47,37,41,33,30,27,28,23,21,18,17,13,14,11,5,5,4,9,3,0,2,1,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
51,34,50,65,75,83,61,77,56,58,48,38,47,38,38,30,27,30,30,27,28,20,21,15,16,5,3,4,7,5,1,2,0,1,1,3,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
52,32,53,74,76,71,56,54,58,55,60,52,54,49,40,41,26,29,26,20,19,16,12,25,12,10,4,3,3,1,5,2,2,3,0,0,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,31,58,65,66,72,77,65,77,53,41,50,54,40,40,32,34,22,24,31,14,20,20,10,14,12,2,5,6,3,3,2,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
54,31,48,76,73,63,85,66,51,51,57,56,51,32,29,37,26,41,34,23,15,15,18,14,9,4,6,6,5,6,6,6,4,2,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
55,30,45,76,78,69,67,67,73,50,63,46,42,36,41,23,35,34,29,18,20,20,15,16,10,4,5,8,8,6,1,5,3,1,1,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0
56,18,46,71,81,71,86,78,63,51,54,30,38,44,45,33,28,25,22,32,25,21,20,11,16,9,8,6,4,5,1,0,2,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
57,31,56,63,76,67,77,76,47,68,63,49,41,39,34,33,32,38,23,17,17,23,10,12,6,9,9,9,4,3,5,1,5,1,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,42,53,59,72,71,74,65,60,57,50,61,42,41,40,20,40,31,23,21,18,16,16,8,14,14,10,5,4,7,1,5,3,0,1,3,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
59,20,47,62,78,82,81,64,60,53,54,46,43,49,38,35,37,35,21,22,19,21,14,12,12,11,6,5,5,2,2,4,2,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
60,26,49,49,62,84,65,66,56,84,50,55,41,40,33,34,46,35,29,28,16,12,15,9,16,10,7,10,4,5,5,2,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
