	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
alpha[2,1]	2.9	0.0033	0.23	2.6	2.9	3.3	4740.0	6.5	1.0
alpha[3,1]	2.7	0.0029	0.2	2.4	2.7	3.0	4728.0	6.5	1.0
alpha[4,1]	1.5	0.0017	0.13	1.3	1.5	1.8	5781.0	7.9	1.0
alpha[5,1]	1.3	0.0021	0.17	1.0	1.3	1.6	6344.0	8.7	1.0
alpha[6,1]	2.0	0.0021	0.16	1.8	2.0	2.3	5216.0	7.1	1.0
alpha[7,1]	1.9	0.0018	0.13	1.6	1.9	2.1	5314.0	7.3	1.0
alpha[8,1]	0.93	0.00089	0.07	0.81	0.93	1.0	6245.0	8.5	1.0
alpha[9,1]	1.6	0.0021	0.18	1.3	1.6	1.9	7259.0	9.9	1.0
alpha[10,1]	1.5	0.0021	0.17	1.2	1.5	1.8	6450.0	8.8	1.0
alpha[11,1]	1.6	0.0017	0.13	1.4	1.6	1.8	5357.0	7.3	1.0
alpha[12,1]	1.4	0.0028	0.23	1.0	1.4	1.8	6904.0	9.4	1.0
alpha[13,1]	1.3	0.0033	0.27	0.87	1.3	1.7	6685.0	9.1	1.0
alpha[14,1]	1.1	0.0014	0.12	0.9	1.1	1.3	7456.0	10.0	1.0
alpha[15,1]	1.4	0.0015	0.12	1.2	1.4	1.6	6018.0	8.2	1.0
alpha[16,1]	1.3	0.0016	0.12	1.1	1.3	1.5	6252.0	8.6	1.0
alpha[17,1]	1.2	0.0013	0.099	1.1	1.2	1.4	5952.0	8.1	1.0
alpha[18,1]	1.1	0.0013	0.094	0.94	1.1	1.3	5577.0	7.6	1.0
alpha[19,1]	1.0	0.0012	0.092	0.86	1.0	1.2	5981.0	8.2	1.0
alpha[20,1]	0.81	0.00097	0.084	0.67	0.81	0.95	7440.0	10.0	1.0
alpha[21,1]	1.0	0.0012	0.1	0.86	1.0	1.2	7257.0	9.9	1.0
alpha[22,1]	1.2	0.0016	0.14	0.98	1.2	1.4	7813.0	11.0	1.0
alpha[23,1]	1.1	0.0015	0.12	0.87	1.1	1.3	6450.0	8.8	1.0
alpha[24,1]	0.92	0.001	0.085	0.79	0.92	1.1	7177.0	9.8	1.0
alpha[25,1]	0.9	0.0015	0.13	0.69	0.9	1.1	7685.0	11.0	1.0
alpha[26,1]	1.5	0.0017	0.13	1.3	1.5	1.7	5392.0	7.4	1.0
alpha[27,1]	1.3	0.0013	0.11	1.1	1.3	1.5	6737.0	9.2	1.0
alpha[28,1]	1.7	0.0016	0.13	1.5	1.7	1.9	6253.0	8.6	1.0
alpha[29,1]	1.8	0.0019	0.14	1.6	1.8	2.0	5328.0	7.3	1.0
alpha[30,1]	0.49	0.0037	0.23	0.11	0.49	0.87	3630.0	5.0	1.0
alpha[31,1]	0.73	0.0021	0.16	0.47	0.73	0.99	5980.0	8.2	1.0
alpha[32,1]	1.2	0.0022	0.18	0.93	1.2	1.5	6184.0	8.5	1.0
alpha[33,1]	1.1	0.0025	0.19	0.79	1.1	1.4	5605.0	7.7	1.0
alpha[34,1]	1.6	0.002	0.16	1.4	1.6	1.9	6453.0	8.8	1.0
alpha[35,1]	1.6	0.0023	0.18	1.3	1.6	1.9	5927.0	8.1	1.0
alpha[36,1]	1.1	0.0011	0.1	0.94	1.1	1.3	7768.0	11.0	1.0
alpha[37,1]	1.2	0.0012	0.1	1.0	1.2	1.4	6971.0	9.5	1.0
alpha[38,1]	1.0	0.0011	0.098	0.87	1.0	1.2	7473.0	10.0	1.0
alpha[39,1]	0.99	0.0016	0.12	0.79	0.99	1.2	6272.0	8.6	1.0
alpha[40,1]	1.2	0.0017	0.13	1.0	1.2	1.4	5800.0	7.9	1.0
