	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[2,673]	-0.13	0.012	0.95	-1.7	-0.11	1.4	6203.0	0.59	1.0
theta[3,673]	-0.46	0.011	0.84	-1.9	-0.44	0.86	6016.0	0.57	1.0
theta[4,673]	-0.051	0.012	0.97	-1.7	-0.037	1.5	6175.0	0.58	1.0
theta[5,673]	-0.75	0.0096	0.69	-2.0	-0.69	0.27	5187.0	0.49	1.0
theta[6,673]	-0.16	0.011	0.9	-1.7	-0.15	1.3	6890.0	0.65	1.0
theta[7,673]	2.3	0.0071	0.52	1.4	2.3	3.1	5260.0	0.5	1.0
theta[8,673]	1.1	0.0087	0.61	0.13	1.0	2.1	4998.0	0.47	1.0
theta[9,673]	-0.32	0.011	0.91	-1.9	-0.29	1.2	7205.0	0.68	1.0
theta[10,673]	0.036	0.011	0.94	-1.6	0.081	1.5	7127.0	0.67	1.0
theta[11,673]	-0.073	0.012	0.98	-1.7	-0.046	1.5	6513.0	0.62	1.0
theta[1,674]	-0.13	0.0057	0.36	-0.75	-0.11	0.43	4007.0	0.38	1.0
theta[2,674]	-0.12	0.011	0.9	-1.6	-0.085	1.3	6553.0	0.62	1.0
theta[3,674]	1.0	0.0093	0.68	-0.042	1.0	2.2	5318.0	0.5	1.0
theta[4,674]	-0.12	0.012	0.93	-1.7	-0.083	1.4	6418.0	0.61	1.0
theta[5,674]	0.28	0.0075	0.55	-0.57	0.26	1.2	5266.0	0.5	1.0
theta[6,674]	-0.49	0.011	0.88	-2.0	-0.46	0.92	5987.0	0.57	1.0
theta[7,674]	1.0	0.007	0.5	0.19	1.1	1.8	5149.0	0.49	1.0
theta[8,674]	-0.42	0.0062	0.44	-1.1	-0.43	0.3	4988.0	0.47	1.0
theta[9,674]	-0.24	0.01	0.86	-1.7	-0.21	1.1	6684.0	0.63	1.0
theta[10,674]	-0.16	0.011	0.89	-1.7	-0.12	1.2	6359.0	0.6	1.0
theta[11,674]	0.0026	0.011	1.0	-1.7	-0.0035	1.6	8568.0	0.81	1.0
theta[1,675]	-0.7	0.0067	0.44	-1.5	-0.67	-0.0059	4321.0	0.41	1.0
theta[2,675]	-0.094	0.012	0.94	-1.7	-0.073	1.4	6018.0	0.57	1.0
theta[3,675]	-0.49	0.011	0.83	-1.9	-0.46	0.81	5791.0	0.55	1.0
theta[4,675]	-0.045	0.011	0.95	-1.6	-0.025	1.5	7944.0	0.75	1.0
theta[5,675]	0.43	0.0076	0.55	-0.42	0.4	1.4	5351.0	0.51	1.0
theta[6,675]	-0.22	0.012	0.92	-1.8	-0.19	1.3	6421.0	0.61	1.0
theta[7,675]	1.7	0.0062	0.48	0.9	1.7	2.5	5995.0	0.57	1.0
theta[8,675]	0.85	0.0082	0.57	-0.0025	0.82	1.8	4774.0	0.45	1.0
theta[9,675]	-0.24	0.011	0.91	-1.8	-0.19	1.2	6505.0	0.62	1.0
theta[10,675]	-0.019	0.011	0.91	-1.6	0.021	1.4	7172.0	0.68	1.0
theta[11,675]	-0.094	0.012	0.97	-1.7	-0.091	1.5	6996.0	0.66	1.0
theta[1,676]	-1.1	0.0081	0.56	-2.1	-1.1	-0.27	4908.0	0.46	1.0
theta[2,676]	-0.069	0.012	0.96	-1.7	-0.06	1.5	6907.0	0.65	1.0
theta[3,676]	-0.37	0.01	0.89	-1.9	-0.34	1.1	7246.0	0.69	1.0
theta[4,676]	-0.013	0.012	0.98	-1.6	0.00064	1.6	6469.0	0.61	1.0
theta[5,676]	-0.65	0.01	0.7	-1.9	-0.61	0.41	4539.0	0.43	1.0
theta[6,676]	-0.17	0.011	0.94	-1.7	-0.18	1.4	7385.0	0.7	1.0
