"k1","k2","tuominen2022","teicher2015"
"x29","x30",0.365687,0.454907
"x30","x30",1,1
"x31","x30",0.610145,0.593385
"x32","x30",0.524389,0.599855
"x33","x30",0.713593,0.684243
"x36","x30",0.327139,0.388122
"x38","x30",0.274405,0.309706
"x39","x30",0.377396,0.197843
"x40","x30",0.291,0.31263
"x41","x30",0.399068,0.269789
"x42","x30",0.124803,0.203068
"x43","x30",0.06421,0.231105
"x44","x30",0.178738,0.18937
"x45","x30",-0.018864,0.0604
"x46","x30",0.268382,0.310667
"x47","x30",0.126752,0.290735
"x48","x30",0.241671,0.245561
"x49","x30",0.300334,0.259189
"x50","x30",0.311255,0.276819
"x51","x30",0.135132,0.177058
"x52","x30",0.274272,0.19912
"x1","x31",0.207328,0.466471
"x2","x31",0.130678,0.517335
"x3","x31",0.322902,0.367823
"x4","x31",0.178445,0.320923
"x5","x31",0.333522,0.399991
"x6","x31",0.294778,0.309352
"x9","x31",0.196382,0.233691
"x12","x31",0.182038,0.377597
"x13","x31",0.032281,0.31173
"x15","x31",0.290389,0.288604
"x17","x31",0.300608,0.458233
"x18","x31",0.381646,0.406687
"x19","x31",0.285649,0.367412
"x21","x31",0.184673,0.279935
"x24","x31",0.30985,0.357577
"x26","x31",0.329976,0.534474
"x27","x31",0.220179,0.419594
"x28","x31",0.215943,0.297034
"x29","x31",0.311562,0.346008
"x30","x31",0.610145,0.593385
"x31","x31",1,1
"x32","x31",0.481972,0.663435
"x33","x31",0.637895,0.591408
"x36","x31",0.334132,0.252902
"x38","x31",0.367306,0.255545
"x39","x31",0.20557,0.237296
"x40","x31",0.168796,0.392142
"x41","x31",0.290292,0.286423
"x42","x31",0.31189,0.06815
"x43","x31",0.189088,0.080533
"x44","x31",0.225865,0.33856
"x45","x31",0.134686,0.247043
"x46","x31",0.333096,0.423554
"x47","x31",0.410363,0.454237
"x48","x31",0.211629,0.285658
"x49","x31",0.326588,0.288577
"x50","x31",0.24312,0.256843
"x51","x31",0.075483,0.346951
"x52","x31",0.151419,0.264195
"x1","x32",0.322909,0.333289
"x2","x32",0.233922,0.354235
"x3","x32",0.324416,0.251273
"x4","x32",0.292978,0.217186
"x5","x32",0.295149,0.265449
