subject,item,item_id,subscale,response,n_years
0ddozbstshs0yud86h4ws2e6,49,Financial_pressure,NVEA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,50,Kept_secrets,NVEA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,51,Looked_out_each_other,PN,0.0,0.0
0ddozbstshs0yud86h4ws2e6,52,Fam_strength,EN,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,1,Swore,PVA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,2,Hurtful,PVA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,3,Afraid,PVA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,4,Leave,PVA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,5,Closet,NVEA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,6,Pushed,PPhysA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,7,Hit,PPhysA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,8,Hit_med,PPhysA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,9,Spank_open,PPhysA,1.0,2.0
0ebo2aov3p0s87qjkp2ia86v,10,Spanked_bare,PPhysA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,11,Spanked_strap,PPhysA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,12,Sex_comment,SexA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,13,Fondled,SexA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,14,Touch_them,SexA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,15,Push_sib,WSV,,
0ebo2aov3p0s87qjkp2ia86v,16,Hit_sib_med,WSV,,
0ebo2aov3p0s87qjkp2ia86v,17,Sex_comment_sib,WSV,,
0ebo2aov3p0s87qjkp2ia86v,18,Fondled_sib,WSV,,
0ebo2aov3p0s87qjkp2ia86v,19,o_fondled,SexA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,20,o_intercourse,SexA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,21,Adults_push_m,WIPV,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,22,Adults_hit_m,WIPV,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,23,Adults_hit_med_m,WIPV,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,24,Adults_push_f,WIPV,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,25,Adults_hit_f,WIPV,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,26,peer_swore,PeerVA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,27,Peer_hurtful,PeerVA,1.0,2.0
0ebo2aov3p0s87qjkp2ia86v,28,Peer_Rumors,PeerVA,1.0,3.0
0ebo2aov3p0s87qjkp2ia86v,29,Peer_Excluded,PeerVA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,30,Peer_afraid,PeerVA,0.0,0.0
