item,subject,response,y_hat,y_pred,loo,ku
0,1310,1.0,0.751,0.759843,-0.29234,0.172579
0,1311,0.0,0.24425,0.764248,-0.293398,0.120967
0,1312,0.0,0.58425,0.417626,-0.969402,0.222163
0,1313,1.0,0.07475,0.078138,-3.326854,0.386503
0,1315,0.0,0.32725,0.675029,-0.432145,0.118123
0,1317,0.0,0.1565,0.850806,-0.17452,0.039157
0,1318,1.0,0.6305,0.62062,-0.520651,0.172185
0,1319,1.0,0.4015,0.402566,-1.045044,0.101394
0,1320,1.0,0.623,0.617906,-0.525348,0.121033
0,1321,0.0,0.287,0.71572,-0.365371,0.130348
0,1322,1.0,0.5275,0.52301,-0.724446,0.150261
0,1323,1.0,0.78375,0.774767,-0.271482,0.05345
0,1324,1.0,0.39525,0.390102,-1.072617,0.426347
0,1325,0.0,0.48275,0.512951,-0.74618,0.121023
0,1326,1.0,0.33175,0.320006,-1.33469,0.374463
0,1327,1.0,0.896,0.898291,-0.111091,0.014588
0,1328,1.0,0.7875,0.786832,-0.254645,0.082831
0,1329,0.0,0.25775,0.747838,-0.317265,0.14106
0,1330,0.0,0.37425,0.623092,-0.519983,0.108067
0,1331,0.0,0.4455,0.564293,-0.634928,0.085844
0,1332,0.0,0.7175,0.278452,-1.459131,0.041239
0,1333,1.0,0.3665,0.373483,-1.124382,0.124333
0,1335,1.0,0.5055,0.510597,-0.744691,0.155345
0,1336,1.0,0.58275,0.580066,-0.599084,0.212489
0,1337,0.0,0.199,0.811961,-0.226779,0.208669
0,1338,0.0,0.496,0.505547,-0.760956,-0.05079
0,1339,1.0,0.70125,0.691242,-0.399576,0.132727
0,1340,0.0,0.03625,0.962088,-0.040267,0.135025
0,1341,0.0,0.731,0.265373,-1.486317,0.088846
0,1342,1.0,0.639,0.633862,-0.497491,0.101416
0,1343,0.0,0.551,0.456089,-0.872767,0.128336
0,1344,0.0,0.41675,0.586339,-0.591095,0.109302
0,1345,0.0,0.132,0.870863,-0.147912,0.09562
0,1346,1.0,0.15025,0.151667,-2.368359,0.410382
0,1347,0.0,0.353,0.631548,-0.509814,0.061615
0,1348,0.0,0.61525,0.389084,-1.051373,0.051121
0,1349,0.0,0.04325,0.955351,-0.048084,0.227578
0,1350,0.0,0.73425,0.266667,-1.489012,0.171738
0,1351,1.0,0.704,0.71256,-0.3667,0.097749
