name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[9,612]	-0.0352	0.0116	0.947	-1.65	0.000649	1.48	6678.0	0.717	1.0
theta[10,612]	-0.0329	0.012	0.981	-1.63	-0.0114	1.55	6633.0	0.712	1.0
theta[11,612]	-0.0149	0.0112	0.972	-1.63	-0.014	1.55	7535.0	0.809	1.0
theta[1,613]	0.622	0.00457	0.288	0.138	0.629	1.08	3964.0	0.426	1.0
theta[2,613]	-0.286	0.0105	0.879	-1.78	-0.244	1.12	7029.0	0.755	0.999
theta[3,613]	-0.327	0.0116	0.683	-1.51	-0.302	0.771	3443.0	0.37	1.0
theta[4,613]	-0.213	0.0102	0.867	-1.71	-0.19	1.15	7152.0	0.768	1.0
theta[5,613]	0.476	0.0101	0.628	-0.524	0.454	1.53	3846.0	0.413	1.0
theta[6,613]	0.926	0.0108	0.843	-0.426	0.91	2.36	6073.0	0.652	1.0
theta[7,613]	1.32	0.0057	0.455	0.582	1.32	2.07	6367.0	0.684	1.0
theta[8,613]	0.874	0.00947	0.71	-0.215	0.824	2.09	5625.0	0.604	0.999
theta[9,613]	-0.431	0.0105	0.819	-1.92	-0.376	0.792	6133.0	0.658	1.0
theta[10,613]	-0.358	0.011	0.813	-1.79	-0.283	0.865	5418.0	0.582	1.0
theta[11,613]	-0.00147	0.0117	0.992	-1.64	0.00126	1.62	7182.0	0.771	1.0
theta[1,614]	-0.105	0.00535	0.35	-0.709	-0.0914	0.444	4286.0	0.46	1.0
theta[2,614]	-0.176	0.012	0.947	-1.79	-0.128	1.29	6264.0	0.673	1.0
theta[3,614]	0.0513	0.012	0.711	-1.15	0.0656	1.22	3502.0	0.376	1.0
theta[4,614]	-0.135	0.0108	0.939	-1.74	-0.11	1.33	7529.0	0.808	1.0
theta[5,614]	-0.891	0.00795	0.593	-1.89	-0.846	-0.0173	5572.0	0.598	1.0
theta[6,614]	-0.536	0.0113	0.839	-1.97	-0.506	0.801	5482.0	0.589	0.999
theta[7,614]	-0.312	0.0103	0.767	-1.71	-0.265	0.844	5600.0	0.601	0.999
theta[8,614]	-1.27	0.00962	0.624	-2.39	-1.2	-0.343	4207.0	0.452	1.0
theta[9,614]	-0.148	0.0114	0.854	-1.66	-0.107	1.13	5623.0	0.604	1.0
theta[10,614]	1.79	0.00831	0.556	0.83	1.81	2.69	4467.0	0.48	1.0
theta[11,614]	0.677	0.147	0.959	-0.999	0.742	2.14	42.7	0.00458	1.04
theta[1,615]	0.481	0.00424	0.291	0.00128	0.487	0.954	4685.0	0.503	1.0
theta[2,615]	-0.262	0.0111	0.917	-1.86	-0.224	1.19	6879.0	0.739	1.0
theta[3,615]	-0.786	0.00931	0.749	-2.07	-0.738	0.394	6473.0	0.695	1.0
theta[4,615]	-0.22	0.0113	0.902	-1.74	-0.187	1.21	6329.0	0.68	0.999
theta[5,615]	0.554	0.00948	0.626	-0.421	0.542	1.58	4353.0	0.467	0.999
theta[6,615]	0.708	0.0104	0.766	-0.514	0.692	2.0	5461.0	0.586	1.0
theta[7,615]	0.33	0.00814	0.564	-0.653	0.37	1.18	4802.0	0.516	1.0
theta[8,615]	-0.104	0.00654	0.501	-0.893	-0.131	0.785	5870.0	0.63	0.999
theta[9,615]	-0.32	0.0105	0.816	-1.75	-0.259	0.892	6095.0	0.654	1.0
theta[10,615]	-0.363	0.011	0.853	-1.83	-0.301	0.955	6033.0	0.648	1.0
theta[11,615]	0.473	0.0733	0.952	-1.17	0.525	1.96	169.0	0.0181	1.02
theta[1,616]	-0.438	0.00597	0.391	-1.11	-0.418	0.173	4277.0	0.459	1.0
theta[2,616]	-0.144	0.0112	0.93	-1.75	-0.13	1.35	6856.0	0.736	1.0
theta[3,616]	0.249	0.0106	0.731	-0.951	0.255	1.43	4746.0	0.51	0.999
theta[4,616]	-0.106	0.0107	0.905	-1.62	-0.0891	1.3	7136.0	0.766	1.0
theta[5,616]	1.51	0.00879	0.671	0.428	1.5	2.65	5824.0	0.625	0.999
theta[6,616]	-0.301	0.011	0.873	-1.81	-0.277	1.13	6272.0	0.673	1.0
theta[7,616]	0.777	0.00896	0.568	-0.238	0.823	1.65	4012.0	0.431	1.0
theta[8,616]	-1.18	0.00822	0.628	-2.28	-1.14	-0.216	5831.0	0.626	1.0
theta[9,616]	-0.125	0.0114	0.88	-1.65	-0.0814	1.25	5951.0	0.639	0.999
theta[10,616]	-0.178	0.0111	0.927	-1.78	-0.146	1.32	6988.0	0.75	1.0
theta[11,616]	-0.142	0.0118	0.94	-1.72	-0.149	1.39	6367.0	0.684	1.0
theta[1,617]	1.08	0.00409	0.275	0.624	1.07	1.52	4532.0	0.487	0.999
theta[2,617]	-0.318	0.0103	0.838	-1.75	-0.282	1.01	6595.0	0.708	1.0
theta[3,617]	0.938	0.0101	0.773	-0.284	0.902	2.29	5887.0	0.632	1.0
theta[4,617]	-0.326	0.0107	0.845	-1.8	-0.292	1.0	6248.0	0.671	1.0
theta[5,617]	1.16	0.00919	0.692	0.06	1.13	2.31	5661.0	0.608	1.0
theta[6,617]	-1.41	0.00988	0.755	-2.66	-1.4	-0.174	5838.0	0.627	1.0
theta[7,617]	-0.9	0.00978	0.719	-2.13	-0.858	0.19	5404.0	0.58	1.0
theta[8,617]	0.576	0.00887	0.739	-0.541	0.514	1.86	6926.0	0.744	0.999
theta[9,617]	-0.0368	0.0096	0.666	-1.25	0.0347	0.916	4816.0	0.517	1.0
theta[10,617]	-0.578	0.00946	0.76	-1.93	-0.523	0.559	6465.0	0.694	1.0
theta[11,617]	-0.000282	0.0116	0.996	-1.61	-0.00313	1.65	7407.0	0.795	0.999
theta[1,618]	-1.35	0.00849	0.581	-2.4	-1.3	-0.475	4689.0	0.504	0.999
theta[2,618]	-0.0717	0.0114	0.94	-1.65	-0.0716	1.47	6806.0	0.731	1.0
theta[3,618]	-0.287	0.0105	0.887	-1.8	-0.265	1.1	7191.0	0.772	0.999
theta[4,618]	-0.0462	0.0111	0.985	-1.68	-0.0466	1.56	7925.0	0.851	0.999
