k1,k2,sk,lb,ub,pval
29,0,0.679695,0.674929,0.735939,0.081
29,1,0.632984,0.618684,0.684461,0.14475
29,2,0.693041,0.677788,0.739752,0.1915
29,3,0.742612,0.720686,0.781697,0.296
29,4,0.781697,0.745472,0.808389,0.61325
29,5,0.673333,0.658095,0.720952,0.1325
29,6,0.720952,0.726667,0.786667,0.01325
29,7,0.78381,0.751429,0.813333,0.541
29,8,0.451429,0.44,0.513333,0.10075
29,9,0.688571,0.657143,0.720952,0.46
29,10,0.668571,0.672381,0.733333,0.02
29,11,0.778095,0.750476,0.811429,0.4245
29,12,0.780952,0.750476,0.813333,0.50075
29,13,0.780952,0.750476,0.814286,0.46025
29,14,0.684964,0.667064,0.736277,0.15375
29,15,0.77327,0.749403,0.816229,0.30775
29,16,0.77327,0.74821,0.815036,0.35075
29,17,0.77327,0.74463,0.813842,0.34475
29,18,0.755005,0.722593,0.783603,0.5235
29,19,0.766444,0.740705,0.803622,0.3665
29,20,0.728571,0.726667,0.786667,0.03675
29,21,0.768571,0.74381,0.805714,0.298
29,22,0.774286,0.748571,0.811429,0.374
29,23,0.757143,0.734286,0.794286,0.338
29,24,0.78,0.746667,0.809524,0.493
29,25,0.578095,0.48,0.548571,0.9995
29,26,0.528571,0.437143,0.509524,0.9985
29,27,0.58381,0.533333,0.60381,0.79275
29,28,0.628571,0.527619,0.599048,0.99975
30,0,0.71592,0.685415,0.743565,0.58875
30,1,0.629171,0.590086,0.653956,0.65725
30,2,0.712107,0.691134,0.748332,0.30075
30,3,0.837941,0.816969,0.868446,0.3965
30,4,0.920877,0.895138,0.93613,0.6425
30,5,0.694286,0.677143,0.738095,0.223
30,6,0.821905,0.812381,0.861905,0.1145
30,7,0.920952,0.90381,0.94381,0.46425
30,8,0.392381,0.364762,0.44,0.2855
30,9,0.757143,0.720952,0.786667,0.57
30,10,0.746667,0.718095,0.781905,0.3725
30,11,0.915238,0.89619,0.93619,0.42925
30,12,0.92,0.9,0.940952,0.39775
30,13,0.929524,0.911429,0.950476,0.47075
30,14,0.732697,0.705251,0.774463,0.275
30,15,0.928401,0.904535,0.946301,0.5245
30,16,0.930788,0.904535,0.947494,0.61525
30,17,0.933174,0.911695,0.953461,0.584
30,18,0.869399,0.839847,0.888465,0.6825
30,19,0.915157,0.891325,0.93327,0.61475
30,20,0.846667,0.830476,0.879048,0.21725
30,21,0.907619,0.886667,0.929524,0.428
30,22,0.922857,0.901905,0.942857,0.4945
30,23,0.875238,0.852381,0.898095,0.54575
30,24,0.926667,0.90381,0.94381,0.59525
30,25,0.461905,0.408571,0.480952,0.7875
30,26,0.400952,0.353333,0.427619,0.65525
30,27,0.54381,0.501905,0.578095,0.54675
30,28,0.561905,0.510476,0.587619,0.72425
30,29,0.80381,0.737143,0.799048,0.98825
31,0,0.698761,0.681602,0.741659,0.189
31,1,0.625357,0.600572,0.663489,0.3035
31,2,0.691134,0.689228,0.747378,0.03425
31,3,0.801716,0.786463,0.840801,0.16975
31,4,0.873213,0.847474,0.897045,0.45625
31,5,0.688571,0.674286,0.73619,0.16375
31,6,0.791429,0.787619,0.84,0.04525
31,7,0.879048,0.853333,0.902857,0.48425
31,8,0.417143,0.389524,0.462857,0.309
31,9,0.74,0.702857,0.765714,0.6085
31,10,0.72381,0.707619,0.769524,0.193
31,11,0.879048,0.854286,0.901905,0.5945
31,12,0.87619,0.853333,0.902857,0.40175
31,13,0.887619,0.861905,0.910476,0.583
31,14,0.73389,0.698091,0.764916,0.51675
31,15,0.884248,0.856802,0.908115,0.53175
31,16,0.891408,0.855609,0.908115,0.73275
31,17,0.891408,0.857995,0.910501,0.67575
31,18,0.840801,0.804576,0.85796,0.764
31,19,0.886559,0.845567,0.896092,0.90875
31,20,0.802857,0.8,0.852381,0.0405
31,21,0.865714,0.841905,0.891429,0.38625
31,22,0.879048,0.855238,0.90381,0.4825
31,23,0.837143,0.81619,0.867619,0.38275
31,24,0.879048,0.855238,0.90381,0.4645
31,25,0.482857,0.435238,0.509524,0.77425
31,26,0.435238,0.381905,0.457143,0.80025
31,27,0.566667,0.513333,0.587619,0.8015
31,28,0.569524,0.519048,0.592381,0.7575
31,29,0.809524,0.718095,0.78,1.0
31,30,0.895238,0.829524,0.880952,0.999
32,0,0.653956,0.639657,0.70448,0.1255
32,1,0.620591,0.612011,0.679695,0.0635
32,2,0.667302,0.64061,0.708294,0.31075
32,3,0.655863,0.644423,0.709247,0.09625
32,4,0.679695,0.641563,0.712107,0.54375
32,5,0.662857,0.630476,0.69619,0.52675
32,6,0.657143,0.653333,0.72,0.0425
32,7,0.67619,0.642857,0.714286,0.383
32,8,0.5,0.480952,0.551429,0.197
32,9,0.647619,0.605714,0.670476,0.71925
32,10,0.625714,0.622857,0.686667,0.04475
32,11,0.678095,0.648571,0.718095,0.4015
32,12,0.677143,0.645714,0.715238,0.4425
32,13,0.679048,0.642857,0.714286,0.51825
32,14,0.651551,0.622912,0.694511,0.3315
32,15,0.658711,0.640811,0.717184,0.1625
32,16,0.661098,0.637232,0.713604,0.22525
32,17,0.663484,0.636038,0.712411,0.278
32,18,0.679695,0.63775,0.70448,0.676
32,19,0.679695,0.63489,0.706387,0.6425
32,20,0.657143,0.644762,0.712381,0.10625
32,21,0.666667,0.64381,0.713333,0.2245
32,22,0.666667,0.64,0.711429,0.27
32,23,0.678095,0.645714,0.712381,0.4695
32,24,0.678095,0.642857,0.714286,0.50325
32,25,0.613333,0.512381,0.580952,0.99975
32,26,0.571429,0.48381,0.554286,0.99875
32,27,0.571429,0.540952,0.607619,0.401
32,28,0.599048,0.535238,0.600952,0.961
32,29,0.785714,0.618095,0.68381,1.0
32,30,0.707619,0.640952,0.708571,0.967
32,31,0.717143,0.635238,0.702857,0.99725
33,0,0.686368,0.671115,0.730219,0.169
33,1,0.601525,0.591992,0.655863,0.0865
33,2,0.682555,0.674929,0.734986,0.0575
33,3,0.796949,0.77693,0.832221,0.2615
33,4,0.876072,0.841754,0.893232,0.7325
33,5,0.68381,0.661905,0.724762,0.251
33,6,0.788571,0.775238,0.830476,0.13975
33,7,0.874286,0.845714,0.897143,0.56425
33,8,0.410476,0.385714,0.460952,0.241
33,9,0.739048,0.697143,0.760952,0.7315
33,10,0.713333,0.697143,0.76,0.17475
33,11,0.868571,0.84381,0.893333,0.50225
33,12,0.875238,0.848571,0.899048,0.57875
