k1,k2,stat,lb,ub,pval
23,9,-0.000863,-0.007318,0.006717,0.44975
23,10,0.003215,-0.005863,0.007741,0.752
23,11,0.00134,-0.003374,0.005138,0.59825
23,12,0.000399,-0.0032,0.004231,0.4875
23,13,7.9e-05,-0.002728,0.003147,0.46725
23,14,0.002331,-0.005495,0.010686,0.4755
23,15,-0.000739,-0.003353,0.004121,0.27425
23,16,0.000503,-0.002954,0.003835,0.547
23,17,0.000195,-0.002827,0.00303,0.5445
23,18,0.005047,-0.004767,0.006926,0.90125
23,19,-0.000582,-0.003044,0.00423,0.2935
23,20,0.001313,0.007946,0.022006,0.0005
23,21,-0.001844,0.001761,0.012631,0.0
23,22,-0.001794,-0.000141,0.008762,0.0035
24,0,0.000487,-0.002964,0.003885,0.5085
24,1,-0.001794,-0.002293,0.00321,0.05275
24,2,-0.000189,-0.00204,0.004522,0.185
24,3,0.000429,-0.003124,0.004621,0.43475
24,4,-0.001782,-0.002091,0.003044,0.0435
24,5,-0.000213,-0.002496,0.004572,0.2455
24,6,0.001297,-0.002931,0.004547,0.58925
24,7,-0.000586,-0.002097,0.003343,0.2225
24,8,-0.000146,-0.002664,0.002862,0.45275
24,9,0.000433,-0.004229,0.003721,0.6215
24,10,-0.000116,-0.003558,0.004122,0.4495
24,11,-0.000958,-0.002017,0.003748,0.1425
24,12,-0.000884,-0.002196,0.003124,0.16925
24,13,0.000436,-0.001787,0.002537,0.58175
24,14,-0.001536,-0.003352,0.00549,0.13675
24,15,0.001544,-0.002333,0.002997,0.81125
24,16,-0.001119,-0.002248,0.002815,0.12475
24,17,-0.000946,-0.00216,0.002616,0.15825
24,18,-0.000519,-0.003108,0.003989,0.2825
24,19,0.000142,-0.00199,0.00257,0.50925
24,20,-0.000832,-0.000696,0.006334,0.0225
24,21,0.000658,-0.001584,0.005703,0.265
24,22,0.000206,-0.001929,0.004781,0.25925
24,23,0.012496,-0.001313,0.006711,1.0
25,0,0.004738,-0.006995,0.009921,0.77175
25,1,-0.001152,-0.005697,0.012049,0.16375
25,2,-0.006229,-0.003322,0.013389,0.004
25,3,-0.00333,-0.005684,0.00836,0.08375
25,4,-0.00041,-0.002921,0.004124,0.29875
25,5,0.003409,-0.004746,0.01365,0.403
25,6,0.000485,-0.004619,0.008966,0.285
25,7,-0.000655,-0.002372,0.003807,0.21475
25,8,0.001739,-0.007469,0.010138,0.5235
25,9,0.00075,-0.008546,0.010092,0.504
25,10,-0.004392,-0.007221,0.010987,0.0985
25,11,0.000352,-0.002748,0.004226,0.3685
25,12,-0.001509,-0.002592,0.003639,0.08525
25,13,-0.001528,-0.001834,0.002567,0.04425
25,14,-0.000291,-0.006543,0.013429,0.234
25,15,0.000898,-0.002519,0.003076,0.62175
25,16,-0.000517,-0.002966,0.002912,0.274
25,17,-0.001875,-0.002014,0.00283,0.035
