sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
55,18,64,77,65,79,71,70,64,64,49,51,39,42,29,36,23,40,25,29,13,13,13,18,11,10,13,4,2,3,3,3,1,0,1,1,1,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
56,38,53,69,64,81,75,59,58,59,52,56,48,43,39,33,27,35,29,25,16,12,14,17,8,6,7,5,5,2,4,0,3,0,1,0,0,2,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0
57,34,54,65,67,68,72,71,65,60,57,46,44,36,41,38,37,33,19,15,26,17,13,15,15,8,7,7,3,2,2,3,3,0,1,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
58,27,59,76,70,68,71,72,65,52,64,44,44,52,29,38,25,22,28,21,26,15,12,16,6,10,7,7,6,3,4,1,1,1,1,1,0,1,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0
59,38,52,61,71,80,76,68,51,51,60,43,58,38,38,36,28,23,26,30,21,13,18,13,8,12,4,10,9,1,5,0,1,0,1,1,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0
60,39,49,70,74,66,77,67,54,70,53,46,46,43,31,29,31,29,34,20,15,13,21,16,13,9,6,4,5,2,2,2,3,0,3,3,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
61,26,53,74,71,79,69,82,60,62,52,51,41,39,42,25,31,27,29,27,18,10,15,14,13,5,5,9,6,3,1,1,2,0,0,2,1,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0
62,39,50,74,68,74,67,67,70,67,58,41,40,33,34,34,30,24,28,25,15,22,14,15,13,10,8,4,4,7,1,2,1,4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
63,24,54,71,67,71,83,66,55,59,54,52,46,52,32,34,23,35,23,18,29,14,19,9,15,6,11,7,5,5,2,1,0,1,2,0,1,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
64,40,56,57,70,75,69,68,68,51,60,44,51,41,32,28,27,28,29,28,16,19,15,15,13,11,7,10,5,4,2,2,1,1,1,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
65,47,48,69,64,67,67,84,64,70,43,55,43,33,37,29,28,30,19,31,20,20,13,9,8,13,7,5,4,7,3,5,0,0,3,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
66,25,63,55,77,70,79,72,73,52,61,52,34,30,34,41,32,34,16,28,17,14,11,26,12,9,6,3,4,2,6,1,2,1,1,1,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
67,40,59,67,54,71,69,76,87,56,57,42,41,33,33,34,25,30,17,32,34,13,17,15,9,6,6,5,6,2,2,1,2,2,0,1,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
68,27,65,63,65,79,66,71,71,50,56,46,44,39,44,42,37,26,24,24,18,16,11,10,9,8,9,3,5,4,4,2,2,0,0,4,0,0,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
69,29,57,64,72,65,71,75,64,68,50,46,42,37,32,42,31,31,29,26,17,18,19,10,14,8,7,4,4,6,2,2,1,1,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,38,52,66,68,74,75,70,54,56,54,49,47,37,44,32,37,25,23,22,21,17,15,12,17,8,9,4,6,5,3,1,2,1,0,0,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
71,36,53,61,71,82,78,56,64,43,46,57,51,37,38,33,45,26,25,28,16,17,9,15,12,10,5,8,6,3,3,4,2,0,1,2,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
72,33,53,68,61,80,66,74,69,52,51,51,46,49,33,39,35,24,21,21,22,12,10,10,13,18,7,7,11,3,0,2,2,0,0,1,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0
73,42,51,72,65,74,67,64,66,63,53,51,43,34,35,34,34,38,26,20,28,10,17,14,11,5,6,6,5,3,3,2,1,1,0,0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
74,32,56,65,65,62,68,87,75,51,50,44,37,39,51,28,45,20,30,28,20,19,16,12,12,3,7,3,9,3,3,2,0,0,2,0,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
75,30,59,66,60,77,69,90,58,61,49,52,36,37,41,31,40,27,25,24,12,23,13,13,14,10,7,3,6,2,1,3,2,1,0,1,1,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
76,26,51,58,73,77,82,80,66,61,39,58,37,30,44,35,34,36,25,25,14,18,13,13,8,5,10,8,7,1,3,1,3,1,3,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
77,32,51,56,82,70,84,75,58,60,55,57,43,47,40,32,24,26,28,19,20,20,10,11,9,6,7,6,6,3,3,1,1,0,1,1,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
78,34,56,64,78,63,74,67,76,57,62,52,34,42,24,42,27,22,29,19,21,15,15,15,11,10,6,7,5,1,3,6,4,2,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
79,36,46,58,78,75,72,67,64,58,61,45,55,38,42,29,29,21,30,22,30,20,23,13,6,6,8,0,1,2,3,3,1,2,1,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
80,37,51,57,76,66,86,78,54,73,54,47,33,43,34,36,29,29,30,16,22,14,9,9,14,16,8,8,3,4,2,1,0,2,1,2,2,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
81,33,59,69,80,65,80,69,62,54,52,58,39,31,38,31,32,29,26,24,22,11,16,12,14,10,6,7,2,1,3,3,3,2,1,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
82,36,61,75,60,66,72,68,69,67,46,58,46,33,40,31,32,28,21,21,24,19,12,11,9,8,4,7,6,3,2,3,4,1,0,0,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
83,26,60,68,70,78,59,53,80,65,61,42,38,48,35,42,35,20,28,23,20,16,16,8,17,9,4,7,4,1,2,4,3,1,1,2,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
84,27,51,71,71,71,65,70,58,62,52,56,56,36,39,41,33,26,19,20,21,16,11,16,10,13,3,5,6,6,4,5,0,2,1,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,39,56,64,69,70,76,66,52,64,54,61,42,43,33,32,29,27,26,33,23,14,13,14,11,7,3,5,4,3,4,2,2,1,2,2,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
86,41,46,72,50,85,74,61,76,50,40,57,47,45,45,29,37,35,24,21,19,16,13,12,12,11,5,4,6,3,2,1,1,1,0,4,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
87,33,55,65,81,75,72,62,72,54,55,45,37,53,36,24,31,32,21,21,19,25,13,14,7,9,10,3,8,4,2,1,2,1,1,1,0,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
88,36,48,80,74,79,73,54,69,42,48,56,49,46,38,33,26,23,29,22,26,14,20,12,14,6,6,3,3,6,3,2,0,3,2,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
89,34,70,65,71,70,67,63,66,63,58,40,44,51,35,26,27,22,21,23,15,17,25,13,14,6,19,5,5,4,1,0,2,2,0,0,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
90,25,42,75,74,64,68,58,81,68,49,44,47,43,47,37,38,30,21,21,17,19,18,21,12,6,3,2,6,0,2,0,0,3,1,1,1,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
91,34,60,59,56,79,75,79,59,60,55,48,39,33,45,33,27,31,32,23,18,25,9,15,10,10,6,4,5,1,6,2,1,4,0,2,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
92,27,63,70,73,98,63,73,59,59,56,38,46,32,35,45,28,29,20,18,19,26,9,10,9,9,7,7,7,3,1,1,2,2,1,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
93,39,56,65,61,86,70,72,57,71,53,42,47,43,36,38,29,15,19,22,25,19,18,15,6,8,6,8,4,3,3,1,3,2,1,0,2,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
94,30,46,73,85,68,67,57,62,66,60,48,41,43,40,27,42,23,28,22,15,21,13,11,15,9,6,3,6,4,4,3,0,1,2,2,1,2,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0
95,32,60,75,68,63,72,79,61,59,41,55,43,39,37,41,28,27,32,19,28,14,14,6,13,11,3,8,4,1,6,1,1,1,2,0,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
96,27,46,64,76,75,66,73,62,61,67,47,47,36,28,35,27,34,26,30,17,21,14,13,11,7,11,5,3,1,7,0,3,2,1,1,1,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
97,43,58,63,51,73,66,72,53,65,70,51,39,51,41,41,24,23,22,23,21,18,15,9,14,9,5,4,6,5,1,0,2,1,2,2,2,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
98,47,49,59,80,73,76,71,58,42,47,39,50,40,39,33,39,28,17,30,18,17,18,15,14,15,7,4,4,6,5,3,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
99,33,59,57,64,72,80,79,69,70,51,56,36,29,40,31,26,29,26,32,15,16,17,13,6,6,10,5,2,4,5,1,0,1,1,3,0,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
100,29,60,67,63,80,78,72,53,60,62,47,40,38,39,29,34,33,28,22,15,16,18,12,10,7,5,9,6,4,3,3,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
101,35,65,54,66,79,82,57,47,58,59,61,32,47,46,36,23,33,24,25,21,18,6,13,8,7,10,10,3,5,5,2,2,3,2,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
102,38,63,60,66,66,67,75,58,60,57,54,51,40,30,45,30,30,24,24,15,19,15,16,7,6,7,5,5,1,1,3,3,2,1,1,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
103,38,54,62,60,68,73,80,49,59,55,65,41,53,39,34,24,25,25,25,17,13,16,17,13,8,8,5,5,4,2,2,0,3,2,1,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
104,32,45,65,77,62,93,66,68,65,59,46,42,37,32,31,33,31,19,18,14,23,20,18,10,10,6,3,4,5,4,1,2,2,2,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
105,21,53,68,75,72,77,85,64,58,67,38,54,43,33,32,24,30,19,26,17,12,11,12,13,9,13,2,3,5,4,3,0,0,2,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
106,30,59,59,71,74,75,66,71,66,51,47,50,31,34,31,28,26,29,17,23,26,14,12,7,13,8,10,5,5,1,2,1,2,0,0,1,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
107,28,47,64,73,81,85,57,71,59,65,52,34,36,26,42,31,34,23,24,20,15,19,10,10,12,6,0,6,2,1,3,2,2,2,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,31,47,71,63,83,82,67,71,59,48,49,41,36,41,28,26,24,25,25,25,23,13,17,8,12,5,12,2,4,3,0,1,1,1,1,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
109,31,56,72,76,68,73,71,61,59,60,49,38,37,37,32,35,32,12,21,21,29,12,13,18,6,8,3,4,2,1,3,1,0,2,1,0,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
110,35,59,63,69,80,71,67,66,52,54,50,49,35,45,28,28,38,22,19,14,22,18,8,13,12,10,4,4,2,2,1,1,0,1,2,0,1,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0
111,31,61,64,73,65,81,68,53,59,56,49,45,37,41,40,34,31,34,19,20,14,11,16,7,5,6,5,6,2,4,4,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
112,38,62,58,72,74,73,64,57,71,47,53,42,38,48,35,20,29,18,33,19,16,11,19,12,10,8,3,3,1,4,4,2,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
113,33,49,58,84,82,68,72,59,63,58,47,47,33,42,32,28,26,33,24,15,18,17,13,10,8,6,8,2,3,1,4,1,0,0,0,2,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
114,29,47,63,77,81,70,77,59,56,56,55,39,38,35,34,34,28,27,18,25,20,15,14,12,9,6,6,4,4,1,2,1,1,2,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
115,34,56,62,71,75,82,71,69,61,56,32,39,41,43,35,35,23,22,29,21,14,14,14,3,9,13,8,1,4,1,1,3,1,0,2,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,28,59,54,79,73,72,73,64,55,64,45,33,41,44,31,37,24,25,22,22,11,15,14,18,10,12,7,4,3,1,0,1,1,1,1,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
117,33,55,70,71,73,81,68,63,67,49,51,38,46,36,25,26,22,29,28,21,25,10,9,9,6,5,5,7,5,0,3,3,3,2,0,1,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0
118,29,46,52,70,89,59,75,79,59,50,57,47,47,37,34,36,29,24,19,12,15,15,13,10,8,6,9,6,2,4,2,1,2,3,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
119,29,62,56,77,74,68,76,62,65,50,52,42,40,33,38,32,27,21,26,19,15,15,10,13,8,9,8,5,4,4,2,1,0,1,0,0,0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0
120,30,59,58,82,59,55,68,73,69,58,61,43,35,42,33,31,26,22,16,15,23,13,17,10,14,10,6,2,5,3,0,2,1,2,1,1,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0
121,36,57,76,70,69,68,72,58,51,51,58,48,39,39,22,25,33,33,20,13,18,13,19,13,10,5,7,3,5,5,3,0,1,2,1,3,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
122,22,59,64,70,71,71,60,68,54,70,51,56,45,29,26,26,26,27,16,26,28,13,16,5,12,8,6,5,5,4,3,1,0,2,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
123,33,58,59,64,72,73,82,64,55,53,45,45,45,32,37,35,39,26,27,15,19,12,8,12,7,9,2,2,2,6,4,0,2,1,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0
124,33,51,69,69,77,66,64,66,61,48,58,35,50,34,37,32,36,19,21,33,16,11,13,16,5,5,6,3,4,3,0,2,1,0,0,0,1,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0
