k1,k2,stat,lb,ub,pval
31,16,-0.002337,-0.005154,0.007864,0.149
31,17,-0.000467,-0.004023,0.004818,0.3775
31,18,-0.001569,-0.007037,0.010229,0.249
31,19,0.005258,-0.005851,0.00877,0.86175
31,20,-0.018064,-0.006875,0.017447,0.00025
31,21,-0.008078,-0.005982,0.012355,0.00775
31,22,0.003272,-0.005098,0.008085,0.75775
31,23,0.000803,-0.007687,0.012973,0.393
31,24,-0.000558,-0.005271,0.006706,0.29725
31,25,0.006398,-0.008786,0.015675,0.6545
31,26,0.005454,-0.008017,0.012717,0.6685
31,27,0.014747,-0.011051,0.017124,0.92975
31,28,0.009616,-0.01121,0.016771,0.83275
31,29,0.030609,-0.009215,0.016268,1.0
31,30,0.018182,-0.008117,0.011103,0.9985
32,0,-0.015633,-0.005992,0.025402,0.00075
32,1,-0.016194,-0.00332,0.025246,0.0
32,2,-0.001727,-0.005911,0.024254,0.0735
32,3,0.002124,-0.006816,0.019777,0.27925
32,4,-0.002865,-0.006189,0.00922,0.13225
32,5,0.011418,-0.006037,0.024634,0.626
32,6,-0.004709,-0.00692,0.020107,0.04225
32,7,5e-06,-0.004729,0.007374,0.34825
32,8,0.003438,-0.011764,0.019376,0.47125
32,9,-0.00409,-0.011385,0.018787,0.1345
32,10,0.005487,-0.010277,0.02275,0.51425
32,11,0.001697,-0.006191,0.014557,0.35675
32,12,-0.007284,-0.006938,0.010148,0.024
32,13,-0.003669,-0.005793,0.007443,0.0695
32,14,-0.005158,-0.008698,0.01822,0.065
32,15,-0.004897,-0.004656,0.005992,0.019
32,16,0.007566,-0.0053,0.008032,0.96225
32,17,0.000702,-0.003752,0.005271,0.4855
32,18,-0.000517,-0.007903,0.012114,0.318
32,19,-9.7e-05,-0.006416,0.009092,0.338
32,20,-0.01097,-0.008377,0.019411,0.012
32,21,-0.00767,-0.006416,0.012863,0.0115
32,22,0.001278,-0.005398,0.008298,0.495
32,23,-0.003207,-0.007852,0.014337,0.11775
32,24,-0.004528,-0.004784,0.006973,0.03375
32,25,0.021791,-0.007893,0.021733,0.9755
32,26,0.01184,-0.006832,0.020485,0.774
32,27,0.01635,-0.011578,0.022355,0.88275
32,28,0.013699,-0.012825,0.021749,0.84625
32,29,0.067404,-0.009998,0.019671,1.0
32,30,0.032776,-0.008478,0.012309,1.0
32,31,0.022701,-0.010269,0.016814,0.99575
33,0,-0.004941,-0.006059,0.017828,0.03075
33,1,-0.011826,-0.005916,0.01559,0.001
33,2,-0.00948,-0.006137,0.016632,0.0065
33,3,-0.011231,-0.007571,0.015142,0.002
33,4,-0.000268,-0.005959,0.007968,0.3865
33,5,0.002174,-0.006678,0.017559,0.2825
33,6,0.008728,-0.005992,0.016663,0.74725
33,7,0.000783,-0.005075,0.006323,0.49625
33,8,0.000203,-0.009076,0.014113,0.323
33,9,0.011204,-0.010091,0.014425,0.911
33,10,0.003979,-0.008979,0.017208,0.49675
33,11,-0.002048,-0.005688,0.012395,0.113
33,12,-0.003431,-0.006748,0.008916,0.11975
33,13,0.001223,-0.004341,0.007613,0.463
33,14,-0.001251,-0.007913,0.015958,0.19225
33,15,-0.000419,-0.004104,0.00593,0.30075
33,16,-0.003892,-0.005061,0.007381,0.05175
33,17,0.001257,-0.003862,0.004972,0.59825
33,18,0.00214,-0.006837,0.010012,0.57575
33,19,-1.3e-05,-0.005537,0.008491,0.319
33,20,-0.016662,-0.010943,0.012729,0.00075
33,21,-0.006916,-0.00577,0.01161,0.018
33,22,0.000351,-0.004836,0.007896,0.4035
33,23,0.000562,-0.006698,0.012696,0.342
33,24,5.9e-05,-0.004745,0.006783,0.3725
33,25,0.006749,-0.008694,0.014521,0.70675
33,26,-5.1e-05,-0.005804,0.014284,0.20075
33,27,0.000832,-0.01016,0.015624,0.4115
33,28,0.001608,-0.011549,0.015334,0.4495
33,29,0.044751,-0.008837,0.015375,1.0
33,30,0.020921,-0.007075,0.011164,1.0
33,31,0.028776,-0.009423,0.013309,1.0
33,32,0.065277,-0.008751,0.017411,1.0
34,0,-0.004391,-0.004752,0.008565,0.0345
34,1,-0.001117,-0.003965,0.006764,0.15175
34,2,-0.005349,-0.004292,0.008824,0.014
34,3,-0.002364,-0.004762,0.009915,0.09875
34,4,0.002122,-0.003965,0.005813,0.70275
34,5,-0.003142,-0.004987,0.009068,0.06825
34,6,-0.001444,-0.005134,0.009215,0.14625
34,7,0.003834,-0.003116,0.005656,0.908
34,8,-0.00123,-0.005609,0.007467,0.26975
34,9,-0.001078,-0.006174,0.009125,0.26025
34,10,0.001008,-0.006789,0.009104,0.4455
34,11,0.001987,-0.004169,0.008385,0.52375
34,12,-0.00224,-0.004652,0.006714,0.143
34,13,-0.000633,-0.003604,0.004794,0.27
34,14,-0.007426,-0.00542,0.009871,0.00775
34,15,0.000173,-0.002776,0.004047,0.48575
34,16,-0.000707,-0.0036,0.005922,0.24725
34,17,0.001241,-0.002466,0.004189,0.65025
34,18,0.000928,-0.004313,0.007115,0.52325
34,19,0.001183,-0.00423,0.006071,0.57525
34,20,-0.008339,-0.005632,0.00953,0.003
34,21,-0.006016,-0.004206,0.008627,0.00375
34,22,0.000875,-0.003667,0.005599,0.5155
34,23,-0.000304,-0.004701,0.008442,0.27375
34,24,-0.00091,-0.003694,0.005303,0.26275
34,25,-0.002954,-0.005487,0.006736,0.09825
34,26,-0.00342,-0.004267,0.006066,0.06075
34,27,0.003032,-0.006294,0.00906,0.664
34,28,0.001091,-0.006919,0.008832,0.5
34,29,0.01239,-0.006318,0.009162,0.9955
34,30,0.01273,-0.004697,0.007895,0.99925
34,31,0.013538,-0.006314,0.008584,0.99725
34,32,0.019667,-0.005882,0.009488,1.0
34,33,0.029373,-0.005989,0.008492,1.0
35,0,-0.011263,-0.005977,0.014581,0.00375
35,1,-0.005603,-0.005856,0.011744,0.028
35,2,-0.005045,-0.005815,0.014383,0.032
35,3,0.001798,-0.008312,0.01259,0.46725
35,4,0.000303,-0.005055,0.00791,0.4485
35,5,-0.003501,-0.006572,0.013944,0.096
35,6,-0.006504,-0.005914,0.014084,0.02025
35,7,-0.00099,-0.004329,0.006801,0.22975
35,8,0.001585,-0.008131,0.011687,0.46475
35,9,0.00522,-0.009175,0.012076,0.7575
35,10,-0.005278,-0.009464,0.01347,0.1065
35,11,0.010403,-0.00746,0.009236,0.98725
35,12,0.007981,-0.004616,0.009806,0.94075
35,13,0.005905,-0.005018,0.005834,0.968
35,14,-0.006303,-0.00766,0.013537,0.0385
35,15,0.001921,-0.004263,0.004604,0.79275
35,16,-0.001206,-0.005283,0.006686,0.27225
35,17,-0.001155,-0.003835,0.004369,0.306
35,18,0.015682,-0.006364,0.009055,0.999
35,19,0.013236,-0.005188,0.007734,0.99925
35,20,-0.004668,-0.006172,0.01505,0.05825
35,21,0.002232,-0.006189,0.01023,0.5225
35,22,0.001598,-0.005074,0.006832,0.6375
35,23,-0.001214,-0.007356,0.010341,0.276
35,24,0.000942,-0.003859,0.007118,0.47625
35,25,-0.002493,-0.006771,0.012118,0.154
35,26,-0.000937,-0.006509,0.009952,0.2485
35,27,0.005318,-0.008974,0.013374,0.709
35,28,0.004507,-0.009758,0.012865,0.69675
35,29,0.010266,-0.007944,0.013517,0.89625
35,30,0.005342,-0.007965,0.00873,0.86025
35,31,0.036216,-0.007717,0.0125,1.0
35,32,0.003796,-0.008774,0.01348,0.59475
35,33,0.005853,-0.008507,0.0112,0.83175
35,34,0.00429,-0.005606,0.007845,0.833
36,0,-0.01675,-0.00647,0.016119,0.00025
36,1,-0.00838,-0.005471,0.014133,0.0045
36,2,-0.010743,-0.006489,0.014602,0.0035
36,3,0.001621,-0.006932,0.014253,0.3775
36,4,0.004024,-0.005843,0.007776,0.8185
36,5,-0.006951,-0.007093,0.015091,0.022
36,6,-0.010376,-0.006627,0.015493,0.005
36,7,-0.0023,-0.004532,0.00624,0.11675
36,8,-0.002402,-0.008834,0.01284,0.21275
36,9,-0.000806,-0.009029,0.014146,0.3135
36,10,-0.008164,-0.008937,0.015897,0.03675
36,11,0.009248,-0.006515,0.010682,0.93725
36,12,0.007409,-0.006021,0.008576,0.9445
36,13,0.005505,-0.004577,0.006563,0.942
36,14,-0.009072,-0.007079,0.014877,0.01475
36,15,-6e-06,-0.004331,0.005159,0.45275
36,16,-0.003549,-0.00457,0.007453,0.0625
36,17,-0.001099,-0.003409,0.004953,0.202
36,18,0.018614,-0.007027,0.009283,1.0
36,19,0.013727,-0.005487,0.008094,0.9995
36,20,-0.006866,-0.008342,0.014541,0.0445
36,21,0.002839,-0.005971,0.010968,0.55675
36,22,0.002322,-0.004737,0.007293,0.67825
36,23,0.002849,-0.006905,0.011336,0.5715
36,24,0.004887,-0.005066,0.005945,0.92475
36,25,-0.000561,-0.008411,0.013308,0.266
36,26,0.002981,-0.00675,0.011581,0.499
36,27,0.011155,-0.009646,0.015044,0.91225
36,28,-0.001262,-0.010885,0.014366,0.29325
36,29,0.004612,-0.009089,0.013996,0.626
36,30,0.00318,-0.006803,0.010087,0.66275
36,31,0.03611,-0.009119,0.012944,1.0
36,32,-0.002891,-0.008817,0.015426,0.1655
36,33,-0.001019,-0.007822,0.013161,0.275
36,34,0.004708,-0.00547,0.008108,0.83325
36,35,0.07317,-0.008029,0.010711,1.0
37,0,-0.0096,-0.001802,0.026517,0.00025
