k1,k2,obs,pred,pval
25,1,-0.03624835691601296,-0.0012007441135469857,0.228
25,2,-0.05094596597651556,0.0003559231008798584,0.171
25,3,-0.00839152449092012,6.591677208574658e-05,0.433
25,4,0.10665261073164133,0.0009294738642267824,0.98925
25,5,-0.11975186857039942,-0.0010078938849646783,0.009
25,6,-0.08792234217832327,0.00031313258694784415,0.04075
25,7,-0.08535192176353475,0.00023157419299368257,0.029
25,8,0.05884256450671948,0.0006409441791644795,0.88225
25,9,0.008383290558592113,-0.0003407670262919773,0.57325
25,10,-0.0024714262131428333,-0.0004772837442732178,0.483
25,11,0.038943855930909634,0.0007647324594414047,0.78225
25,12,0.002488872036961006,-0.0002824743882250151,0.52425
25,13,0.009965878750606392,0.0011984244938505464,0.57325
25,14,-0.11929918689618343,-0.0010563012886953861,0.004
25,15,0.012779715310323585,0.0007717103727608755,0.596
25,16,-0.04844960357395232,-0.0003380732214086852,0.13175
25,17,-0.009956586371442745,0.0005169022594339581,0.405
25,18,-0.0662898623707811,0.00046294048809185996,0.07175
25,19,-0.0909694137322982,0.00018946418622345127,0.0195
25,20,-0.08188842481000798,-0.00043385612396076737,0.0445
25,21,0.0813093654467271,0.00029074229701585736,0.957
25,22,-0.040275895428753906,-0.0006917604288668043,0.2045
25,23,-0.04645645380220656,-0.000967999971332044,0.1745
25,24,-0.03688306836902967,-0.0007677962492248492,0.22975
26,0,-0.07684549623795203,0.00019898019940413112,0.046
26,1,-0.03975292148723935,0.0014050619360442323,0.19375
26,2,-0.0016236339055876899,-0.00017203668226796725,0.484
26,3,-0.03800832131956792,-0.0004779564697542849,0.20875
26,4,0.025929930715014666,-0.00022359471392295165,0.7185
26,5,-0.13400713805152675,0.0008859224678883029,0.0005
26,6,-0.0727654875463395,0.0011599488969141777,0.05225
26,7,-0.10095663291197615,-0.0014090785676367681,0.00925
26,8,0.023520841959727378,-0.00042477463464152493,0.69725
26,9,0.047499245719605905,0.0006754279096645093,0.8535
26,10,-0.06363326446174748,-0.00038614349455160256,0.08975
26,11,-0.032816378142121516,0.0005093781516185873,0.2335
26,12,-0.012099751909558212,-0.0007689560088946955,0.3935
26,13,0.04317223747041682,-5.527047946288603e-05,0.82925
26,14,-0.005432694015452943,0.0006192304108594474,0.44725
26,15,-0.042513831329351444,-0.0006915299974200131,0.17775
26,16,-0.07615685765352823,-0.00025991387984420353,0.04175
26,17,-0.043610516146246815,-0.0006814245598187711,0.15175
26,18,-0.004514502747971964,0.00029976676948004883,0.456
26,19,0.0012251226694475377,-0.00016904795388321343,0.523
26,20,0.0726119401834303,0.0004692998611170315,0.94025
26,21,-0.026638009590844534,0.0003218376747116688,0.27925
26,22,-0.008173277024408985,0.0003362992922285117,0.42575
26,23,0.04833339689202663,-0.00028865842929254326,0.85525
26,24,0.022385914291933835,-0.0001457599927673742,0.6985
26,25,0.1007382766381055,-0.0006677955285677747,0.982
27,0,0.051879166499692625,0.00018101733578158595,0.85725
27,1,0.14657398980244898,0.0004147603162235774,0.999
27,2,-0.02339708095942931,0.0004530851605330674,0.3245
27,3,-0.06346177964914089,0.0006997511070599979,0.079
27,4,0.027714103291177083,-0.0013556232448840807,0.75975
27,5,-0.0032878371046104393,0.0003853424188761559,0.467
27,6,-0.10694919476687836,0.0002872256454495216,0.0075
27,7,-0.06521749620417226,0.0003202265453367981,0.07375
27,8,-0.016692150089270184,0.00014498786090010295,0.33725
27,9,0.05484096490239305,-0.0011809048545062552,0.902
27,10,-0.048134713283779336,-0.00013851228974669604,0.1465
27,11,0.024805378218026065,0.00011662078591918133,0.7025
27,12,0.0201406785799184,0.0006974264138370999,0.65475
27,13,0.01688073304536203,-0.000156718029273017,0.64825
27,14,-0.03541309010695087,-0.0004706877140133875,0.20325
27,15,-0.10761817849855534,-0.00014773270643506146,0.006
27,16,-0.011014319143213517,-0.0008618858599204657,0.406
27,17,0.020861376886731637,-0.0007777184611219971,0.69
27,18,0.0639545282210931,0.000782148323907795,0.923
27,19,0.06825774378132038,0.0006212117381885163,0.937
27,20,-0.040822696749217985,0.00018722997637247107,0.16825
27,21,-0.04667571969012074,-0.00023346990751205968,0.14075
27,22,-0.028549073260314764,-0.0006544286460986484,0.26325
27,23,-0.10192563257673416,0.0005778796575120219,0.00825
27,24,0.004966857513767034,0.000769865408109513,0.5395
27,25,0.04817584281829428,8.301268233626951e-05,0.84475
27,26,0.12068960946442366,-0.0005385032205496964,0.9955
28,0,-0.042250289215371654,3.1679963788114827e-05,0.193
28,1,0.008803810533240367,0.0004576472890343413,0.5725
28,2,-0.04215784018232978,0.0006656450819098753,0.202
28,3,-0.07406817202199245,-0.000635798380564298,0.06025
28,4,0.022656593007356084,0.0015261695437005305,0.679
28,5,-0.10263937529746364,0.0007051273904975377,0.0185
28,6,-0.06643747553872237,-0.0002942405681552761,0.09475
28,7,-0.07145950956797041,1.7855272853032842e-05,0.05125
28,8,0.042726706125235756,0.0005862852270625455,0.7995
28,9,0.00664668403294731,-0.0006535944211963748,0.57075
28,10,-0.03734908511495924,3.993617069437068e-05,0.2305
28,11,0.04705759930738648,-0.0003324191611682964,0.842
28,12,0.05046003329662093,0.0005365252505246003,0.8485
28,13,0.031954180611315136,-0.0010710767664279825,0.76525
28,14,-0.061366557310108635,-0.00020326320754679135,0.10025
28,15,-0.09340338970715853,-0.0009925321742798024,0.02575
28,16,-0.02584913748493068,0.0005467873623722034,0.26925
28,17,-0.03461914516572626,0.0001999335556983495,0.202
28,18,-0.031263764697658666,0.0015946256237852688,0.22775
28,19,0.05159121504551924,-0.0004066680114907221,0.88875
28,20,0.0710161900445853,-0.00020981689221731702,0.93125
28,21,0.022321531689130026,0.00016092789115444044,0.68125
28,22,0.05604638826457569,-0.00048708437747535695,0.88675
28,23,0.02418110306585084,0.0002754208615498097,0.69775
28,24,0.04166907949011016,0.0009390067322308656,0.81
28,25,0.11524727162504621,-0.0012053751024600635,0.991
28,26,0.19522604061910873,-0.0012293159087351294,1.0
28,27,0.1737821668586095,-9.137581482173497e-05,1.0
29,0,-0.027279339005953817,0.0010807873430721203,0.25675
29,1,-0.04380087995451156,-0.0003003768866502288,0.1415
29,2,-0.06426201070206444,0.0018777115095483037,0.078
29,3,-0.10638293176653466,-8.500851340532765e-07,0.01875
29,4,-0.10716374091146462,0.0004093128142320469,0.02
29,5,-0.01683290612256037,-0.0007413204452392271,0.362
29,6,-0.05608761275383302,-0.0001603590864093352,0.15
29,7,0.003914118476380363,0.0014178069039447736,0.5295
29,8,-0.060320534309882406,0.0004006158825671313,0.14525
29,9,-0.030924489664931883,-2.072151174781838e-05,0.301
29,10,-0.11320307101834201,-0.0014601633047638912,0.0195
29,11,-0.05720560394594913,0.0014188920480844522,0.173
29,12,-0.06199842850944162,-0.0012639051547881067,0.1555
29,13,-0.08013385638053477,-0.0013965064769947955,0.0675
29,14,-0.052162970349809656,4.509353748976457e-05,0.1785
29,15,0.004075326787849917,0.0010022023025476631,0.5305
29,16,0.016734870694694436,-0.0003536504183994537,0.658
29,17,-0.07546863322333401,-0.00013926222889474625,0.02325
29,18,-0.08196448760122362,0.0008683940392773776,0.02325
29,19,-0.05253364437616914,-3.766460914219253e-05,0.108
29,20,-0.01896001588171057,-0.001250006837078033,0.35725
29,21,0.06261570382572328,-0.0011309869048914828,0.889
29,22,-0.0739444483234679,0.0005671092767688967,0.06225
29,23,-0.02315760086337629,0.0008665948941659871,0.32375
29,24,-0.08430463041877671,0.0001234382194737879,0.051
29,25,0.04552287157587925,0.0009547833415920926,0.8155
29,26,-0.0305699580360934,0.0006671792767457071,0.245
29,27,-0.012910414187875483,0.000715256532720998,0.37225
29,28,-0.01817822977430328,-0.001485726601336833,0.3695
30,0,0.020513519514400416,-0.0001737956689901489,0.67525
30,1,-0.015590486274632541,-0.0009086448360795154,0.3675
30,2,-0.08556057877736284,-0.00047356860135423394,0.03975
30,3,-0.06919858171270554,-0.0004644854101202473,0.082
30,4,-0.042639839578226264,-1.1346399311946597e-05,0.20675
30,5,-0.0191538760899326,-0.0003117262776606269,0.354
30,6,-0.08246314369649024,-0.00023973694923760136,0.0565
30,7,-0.02967146606508584,-0.00041943361852266135,0.25125
30,8,-0.03839541187772703,-0.000811069161203518,0.23425
30,9,-0.0005565824049716357,-0.00021657538359645418,0.50025
30,10,-0.05996847758502905,-0.0007761464301075581,0.1245
30,11,-0.02703971945807709,4.973069013798812e-05,0.31275
30,12,0.01413043829207822,-0.000627080615906217,0.616
30,13,-0.03642673138070208,-0.0012003520018833529,0.2435
30,14,-0.05200887886471413,0.0002493875383628459,0.1465
30,15,-0.001666530808520266,0.00031775502945314015,0.486
30,16,-0.07893240958504928,-0.0003425794086887776,0.03325
30,17,-0.09867709797291767,0.0001042393310057585,0.005
30,18,-0.13253379575723218,0.0007404654883646326,0.001
30,19,-0.10842227864900258,-5.382204873253487e-05,0.00625
30,20,-0.11762880117345013,0.000186282765477787,0.00475
30,21,-0.0036200427343181,-0.00010066418533661645,0.48025
30,22,-0.07873925818220025,0.00033172878593751,0.0485
30,23,-0.07123089582937167,-0.00032724123790887156,0.07325
30,24,-0.07518438987015542,0.0005649210634687678,0.05575
30,25,0.036301344011111895,7.272942921642111e-05,0.77525
30,26,0.04836800642050753,-0.001127003550388914,0.8615
30,27,-0.04646719270904458,-0.0008555716026936798,0.1515
30,28,-0.01473553071934975,-0.0006090472106743644,0.38075
30,29,0.5216650223115453,-0.0008364223534194075,1.0
31,0,-0.07617498760212792,0.00016749584107258076,0.05025
31,1,-0.08434453453286098,0.00023529467306063114,0.02
31,2,-0.10772675152412738,-0.0006102225755836603,0.013
31,3,-0.08798168531287603,2.2542797349822536e-05,0.04475
31,4,0.026845238865909452,-0.0008923750476329109,0.68775
31,5,-0.03632103737470763,-0.0006630696469531374,0.22825
31,6,-0.036928811941386246,-1.1972818124733512e-05,0.251
31,7,-0.046926311992947285,0.00037123204377655875,0.154
31,8,0.09878892179462899,0.00029513453771668114,0.95475
31,9,0.013581388374808498,-0.0013738136541219005,0.6155
31,10,-0.08387357561859202,1.8306752678650794e-05,0.067
31,11,0.053393238968014956,-0.00027523024573265043,0.817
31,12,-0.026045217826590215,-0.00012888859387806694,0.33275
