	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[10,50]	-0.14	0.013	0.84	-1.6	-0.1	1.2	3862.0	1.8	1.0
theta[11,50]	-0.14	0.016	0.97	-1.8	-0.13	1.4	3627.0	1.7	1.0
theta[1,51]	0.22	0.0074	0.3	-0.3	0.23	0.7	1684.0	0.8	1.0
theta[2,51]	-0.22	0.014	0.75	-1.6	-0.16	0.9	2898.0	1.4	1.0
theta[3,51]	-0.72	0.014	0.78	-2.1	-0.69	0.54	2947.0	1.4	1.0
theta[4,51]	-0.25	0.014	0.88	-1.7	-0.22	1.2	3861.0	1.8	1.0
theta[5,51]	1.1	0.011	0.61	0.13	1.1	2.1	2923.0	1.4	1.0
theta[6,51]	0.44	0.015	0.74	-0.74	0.42	1.7	2462.0	1.2	1.0
theta[7,51]	-0.73	0.013	0.77	-2.1	-0.68	0.42	3680.0	1.7	1.0
theta[8,51]	0.84	0.012	0.71	-0.24	0.8	2.1	3586.0	1.7	1.0
theta[9,51]	-0.33	0.013	0.78	-1.7	-0.28	0.84	3457.0	1.6	1.0
theta[10,51]	-0.41	0.014	0.83	-1.9	-0.36	0.85	3507.0	1.7	1.0
theta[11,51]	0.75	0.024	0.89	-0.8	0.79	2.1	1389.0	0.66	1.0
theta[1,52]	0.98	0.0064	0.29	0.52	0.98	1.5	2020.0	0.96	1.0
theta[2,52]	1.5	0.011	0.6	0.55	1.4	2.5	2966.0	1.4	1.0
theta[3,52]	0.59	0.015	0.8	-0.69	0.57	1.9	2823.0	1.3	1.0
theta[4,52]	0.87	0.012	0.65	-0.24	0.88	1.9	2887.0	1.4	1.0
theta[5,52]	1.2	0.011	0.67	0.14	1.1	2.3	3518.0	1.7	1.0
theta[6,52]	-0.92	0.024	0.72	-2.1	-0.94	0.25	934.0	0.44	1.0
theta[7,52]	0.91	0.0081	0.47	0.15	0.9	1.7	3319.0	1.6	1.0
theta[8,52]	0.21	0.012	0.7	-0.85	0.16	1.5	3247.0	1.5	1.0
theta[9,52]	0.53	0.0085	0.44	-0.24	0.55	1.2	2712.0	1.3	1.0
theta[10,52]	-0.68	0.013	0.72	-1.9	-0.63	0.43	3270.0	1.6	1.0
theta[11,52]	0.46	0.017	0.84	-0.94	0.48	1.8	2407.0	1.1	1.0
theta[1,53]	-1.5	0.011	0.55	-2.5	-1.5	-0.65	2387.0	1.1	1.0
theta[2,53]	-0.15	0.016	0.94	-1.7	-0.14	1.4	3447.0	1.6	1.0
theta[3,53]	0.6	0.025	0.87	-0.9	0.63	2.0	1252.0	0.59	1.0
theta[4,53]	-0.083	0.016	1.0	-1.7	-0.078	1.5	3770.0	1.8	1.0
theta[5,53]	-0.71	0.014	0.72	-2.0	-0.65	0.37	2824.0	1.3	1.0
theta[6,53]	-0.16	0.016	0.9	-1.7	-0.13	1.3	3178.0	1.5	1.0
theta[7,53]	-0.081	0.014	0.82	-1.5	-0.053	1.2	3580.0	1.7	1.0
theta[8,53]	-0.88	0.013	0.72	-2.2	-0.83	0.2	2921.0	1.4	1.0
theta[9,53]	-0.1	0.015	0.92	-1.7	-0.051	1.3	3989.0	1.9	1.0
theta[10,53]	-0.09	0.016	0.97	-1.7	-0.067	1.5	3690.0	1.8	1.0
theta[11,53]	-7.1e-05	0.016	0.99	-1.7	0.0074	1.6	4039.0	1.9	1.0
theta[1,54]	-0.95	0.01	0.46	-1.8	-0.92	-0.22	2107.0	1.0	1.0
theta[2,54]	-0.18	0.015	0.91	-1.8	-0.14	1.2	3569.0	1.7	1.0
