k1,k2,sk,lb,ub,pval
47,46,0.676976,0.623711,0.716495,0.59125
48,0,0.618557,0.594502,0.680412,0.23425
48,1,0.592784,0.565292,0.656357,0.20375
48,2,0.652921,0.618557,0.704467,0.34425
48,3,0.628866,0.597938,0.685567,0.30425
48,4,0.606529,0.561856,0.661512,0.38575
48,5,0.64433,0.609966,0.699313,0.409
48,6,0.666667,0.609966,0.701031,0.66725
48,7,0.601375,0.561856,0.661512,0.309
48,8,0.517182,0.477663,0.572165,0.3445
48,9,0.609966,0.561856,0.651203,0.52775
48,10,0.601375,0.560137,0.647766,0.4245
48,11,0.621993,0.57732,0.671821,0.44825
48,12,0.616838,0.570447,0.668385,0.47475
48,13,0.611684,0.561856,0.661512,0.51875
48,14,0.635701,0.590164,0.68306,0.4645
48,15,0.601093,0.553734,0.655738,0.4425
48,16,0.604736,0.557377,0.661202,0.3925
48,17,0.59745,0.555556,0.657559,0.37925
48,18,0.597938,0.561856,0.658076,0.254
48,19,0.606529,0.56701,0.666667,0.356
48,20,0.656357,0.59622,0.685567,0.76575
48,21,0.634021,0.584192,0.680412,0.542
48,22,0.613402,0.561856,0.661512,0.5045
48,23,0.630584,0.57732,0.671821,0.58625
48,24,0.608247,0.560137,0.661512,0.408
48,25,0.59622,0.520619,0.611684,0.90725
48,26,0.558419,0.484536,0.580756,0.84025
48,27,0.608247,0.532646,0.620275,0.922
48,28,0.539519,0.517182,0.604811,0.18525
48,29,0.632302,0.582474,0.668385,0.60175
48,30,0.632302,0.56701,0.661512,0.7765
48,31,0.639175,0.572165,0.664948,0.773
48,32,0.62543,0.575601,0.659794,0.6245
48,33,0.61512,0.570447,0.661512,0.43075
48,34,0.61512,0.565292,0.664948,0.4785
48,35,0.613402,0.572165,0.668385,0.39575
48,36,0.613402,0.572165,0.664948,0.427
48,37,0.671821,0.609966,0.697595,0.80325
48,38,0.634021,0.568729,0.658076,0.78575
48,39,0.606529,0.579038,0.668385,0.2795
48,40,0.647766,0.59622,0.682131,0.62275
48,41,0.608247,0.575601,0.671821,0.25375
48,42,0.597938,0.580756,0.670103,0.11275
48,43,0.623711,0.582474,0.678694,0.31675
48,44,0.608247,0.56701,0.664948,0.374
48,45,0.64433,0.580756,0.675258,0.757
48,46,0.628866,0.568729,0.668385,0.66725
48,47,0.721649,0.582474,0.671821,1.0
49,0,0.611684,0.572165,0.659794,0.4095
49,1,0.565292,0.515464,0.608247,0.55425
49,2,0.652921,0.611684,0.701031,0.4005
49,3,0.697595,0.642612,0.726804,0.6835
49,4,0.69244,0.649485,0.743986,0.37775
49,5,0.654639,0.604811,0.689003,0.57475
49,6,0.66323,0.640893,0.726804,0.1335
49,7,0.704467,0.654639,0.750859,0.49775
49,8,0.479381,0.431271,0.525773,0.5245
49,9,0.651203,0.609966,0.695876,0.492
49,10,0.604811,0.579038,0.664948,0.2655
49,11,0.707904,0.654639,0.745704,0.625
49,12,0.699313,0.652921,0.745704,0.46875
49,13,0.701031,0.651203,0.747423,0.491
49,14,0.661202,0.641166,0.728597,0.134
49,15,0.695811,0.648452,0.746812,0.4505
49,16,0.710383,0.652095,0.748634,0.6385
49,17,0.70674,0.652095,0.750455,0.5885
49,18,0.694158,0.647766,0.737113,0.531
49,19,0.699313,0.651203,0.747423,0.47325
49,20,0.670103,0.639175,0.723368,0.30225
49,21,0.685567,0.659794,0.750859,0.18675
49,22,0.695876,0.658076,0.752577,0.38825
49,23,0.699313,0.649485,0.737113,0.59625
49,24,0.704467,0.656357,0.750859,0.4915
49,25,0.524055,0.474227,0.56701,0.61975
49,26,0.496564,0.419244,0.517182,0.86825
49,27,0.601375,0.508591,0.597938,0.974
49,28,0.611684,0.498282,0.589347,0.99825
49,29,0.683849,0.61512,0.702749,0.836
49,30,0.690722,0.640893,0.733677,0.539
49,31,0.687285,0.627148,0.714777,0.708
49,32,0.659794,0.594502,0.680412,0.8545
49,33,0.690722,0.630584,0.721649,0.70675
49,34,0.707904,0.654639,0.749141,0.60975
49,35,0.699313,0.642612,0.733677,0.6565
49,36,0.685567,0.634021,0.723368,0.571
49,37,0.682131,0.62543,0.709622,0.724
