item,subject,response,y_hat,y_pred,loo,ku
0,1153,0.0,0.772,0.219224,-1.723924,0.150806
0,1154,1.0,0.978,0.976671,-0.023939,0.060118
0,1155,1.0,0.485,0.47597,-0.841081,0.093511
0,1156,0.0,0.083,0.918599,-0.091286,0.10453
0,1157,0.0,0.0685,0.933921,-0.073447,0.108283
0,1158,0.0,0.575,0.424702,-0.95663,0.135272
0,1159,0.0,0.14,0.8609,-0.163265,0.189607
0,1160,1.0,0.3595,0.365719,-1.165759,0.111678
0,1161,0.0,0.08125,0.925969,-0.082465,0.039508
0,1162,0.0,0.17175,0.831901,-0.201812,-0.017238
0,1163,0.0,0.472,0.53479,-0.699943,0.141472
0,1164,1.0,0.66575,0.665635,-0.442637,0.19911
0,1165,1.0,0.8955,0.89841,-0.111612,0.120969
0,1166,1.0,0.60475,0.608638,-0.545255,0.013731
0,1168,0.0,0.433,0.54291,-0.685962,0.13076
0,1169,1.0,0.50575,0.501052,-0.770058,0.045793
0,1170,0.0,0.158,0.840548,-0.18953,0.231902
0,1171,0.0,0.42625,0.565479,-0.633595,0.010703
0,1172,0.0,0.07625,0.924767,-0.084426,0.079213
0,1173,0.0,0.0635,0.942961,-0.062662,0.292809
0,1174,0.0,0.1795,0.828837,-0.207462,0.176339
0,1175,0.0,0.4105,0.580251,-0.603631,0.124021
0,1176,0.0,0.257,0.737129,-0.333203,0.216416
0,1178,1.0,0.247,0.234295,-1.770875,0.445488
0,1179,1.0,0.5995,0.59563,-0.569586,0.155901
0,1180,0.0,0.06275,0.934054,-0.072759,0.061386
0,1182,0.0,0.22225,0.78626,-0.263656,0.061077
0,1183,1.0,0.4875,0.484178,-0.814763,0.107659
0,1184,0.0,0.05275,0.942681,-0.062887,0.261161
0,1186,0.0,0.23575,0.773227,-0.283143,0.183212
0,1187,0.0,0.11325,0.88476,-0.133033,0.195225
0,1188,1.0,0.47525,0.478466,-0.831764,0.173349
0,1189,1.0,0.7365,0.727122,-0.341754,0.121826
0,1190,1.0,0.80975,0.817425,-0.213536,-0.05653
0,1191,1.0,0.29225,0.292039,-1.481488,0.218819
0,1192,0.0,0.04425,0.955056,-0.048913,-0.047079
0,1194,0.0,0.5715,0.434347,-0.936572,-0.005822
0,1195,1.0,0.50025,0.495219,-0.789392,0.163594
0,1196,0.0,0.09225,0.911767,-0.099264,0.050313
0,1197,1.0,0.942,0.937655,-0.066326,0.014587
0,1198,0.0,0.29625,0.707329,-0.385143,0.161573
0,1199,1.0,0.8595,0.868783,-0.147053,0.066972
0,1200,0.0,0.0565,0.947812,-0.056992,0.152296
0,1201,0.0,0.19475,0.788033,-0.261629,0.131367
0,1202,0.0,0.04575,0.956875,-0.046682,0.053788
0,1203,0.0,0.2335,0.771501,-0.286513,0.109898
0,1205,0.0,0.294,0.706324,-0.384497,0.060279
0,1206,1.0,0.60775,0.593271,-0.575826,0.109073
0,1207,0.0,0.165,0.833008,-0.199646,0.184378
0,1208,0.0,0.063,0.934225,-0.073324,0.079239
0,1209,1.0,0.8545,0.856084,-0.163128,0.170938
0,1210,1.0,0.6505,0.665316,-0.442185,0.203969
0,1211,1.0,0.289,0.296553,-1.442384,0.192899
0,1212,0.0,0.03675,0.964603,-0.038078,-0.018192
0,1213,1.0,0.776,0.78569,-0.255986,0.198727
0,1214,1.0,0.228,0.225372,-1.817289,0.405486
0,1215,0.0,0.4745,0.521661,-0.721407,0.26639
0,1216,1.0,0.84975,0.852349,-0.168074,-0.00837
0,1217,0.0,0.054,0.942663,-0.063394,0.148636
0,1218,0.0,0.22075,0.772342,-0.282986,-0.007154
0,1219,0.0,0.08875,0.897554,-0.117173,0.131852
0,1220,1.0,0.261,0.266845,-1.605215,0.28591
0,1221,0.0,0.06075,0.942269,-0.063761,0.089376
0,1223,0.0,0.04975,0.947643,-0.057293,0.114592
0,1225,0.0,0.1395,0.86026,-0.164941,0.045303
0,1226,0.0,0.69525,0.308915,-1.32217,0.260362
0,1227,1.0,0.47775,0.478585,-0.833505,0.231922
0,1228,1.0,0.54225,0.545258,-0.677972,0.138928
0,1229,0.0,0.51075,0.492782,-0.788654,0.072884
0,1230,1.0,0.7815,0.772712,-0.276359,0.232787
0,1231,1.0,0.24675,0.243438,-1.706646,0.38044
0,1232,1.0,0.7735,0.792228,-0.247734,0.19314
0,1233,0.0,0.6485,0.362521,-1.14022,0.216122
0,1234,0.0,0.0385,0.965206,-0.037536,0.118549
0,1235,1.0,0.69075,0.699439,-0.386936,0.206368
0,1236,0.0,0.56075,0.448332,-0.900702,0.178211
0,1237,0.0,0.0655,0.927392,-0.080461,-0.006766
0,1238,0.0,0.1545,0.846242,-0.183085,0.173919
0,1239,0.0,0.0315,0.964583,-0.038154,0.073763
0,1240,0.0,0.04825,0.950933,-0.053379,0.073947
0,1241,1.0,0.47725,0.485709,-0.820379,0.275538
0,1243,1.0,0.72225,0.718404,-0.356401,0.071637
0,1244,1.0,0.864,0.848076,-0.173351,0.10905
0,1245,1.0,0.52925,0.537363,-0.6937,0.214104
0,1246,0.0,0.3,0.69456,-0.404248,0.136801
0,1247,1.0,0.86325,0.863989,-0.153402,-0.014693
0,1248,0.0,0.503,0.496112,-0.777635,0.116536
0,1249,1.0,0.789,0.788605,-0.252316,0.284178
0,1250,1.0,0.317,0.312469,-1.401502,0.354699
0,1251,0.0,0.4125,0.582268,-0.598483,0.032626
0,1252,0.0,0.22325,0.781444,-0.272185,0.020125
0,1253,1.0,0.90925,0.913341,-0.09418,0.055728
0,1254,0.0,0.27125,0.721062,-0.360631,0.118054
0,1255,1.0,0.79225,0.793172,-0.246735,0.219069
0,1256,1.0,0.44925,0.435738,-0.940595,0.348522
0,1258,1.0,0.81175,0.818297,-0.211902,0.105802
0,1259,0.0,0.061,0.94343,-0.062285,0.221994
0,1260,0.0,0.058,0.943389,-0.062006,0.212142
0,1261,1.0,0.6005,0.597374,-0.566344,-0.012358
0,1262,0.0,0.34475,0.661455,-0.462393,0.09557
0,1263,0.0,0.27,0.722431,-0.359106,0.093244
0,1264,0.0,0.069,0.931006,-0.076262,0.082123
0,1265,0.0,0.49275,0.506738,-0.76266,0.2311
0,1266,1.0,0.32525,0.331187,-1.296464,0.202247
0,1267,0.0,0.0315,0.965516,-0.037129,0.134731
0,1268,1.0,0.39225,0.398141,-1.059821,0.14306
0,1269,1.0,0.77275,0.777097,-0.269205,0.046989
0,1270,0.0,0.107,0.884891,-0.131959,0.173238
0,1271,1.0,0.438,0.442304,-0.938144,0.310242
0,1272,0.0,0.04525,0.96038,-0.042673,0.010719
0,1273,0.0,0.3885,0.601144,-0.567764,0.096858
0,1274,1.0,0.437,0.44517,-0.921836,0.150503
0,1275,0.0,0.7755,0.222703,-1.702074,0.230329
0,1276,0.0,0.11175,0.885861,-0.131301,0.247675
0,1278,1.0,0.769,0.766379,-0.283947,0.030145
0,1279,1.0,0.56875,0.561606,-0.640032,0.109858
0,1281,0.0,0.305,0.700688,-0.391772,-0.010608
0,1282,0.0,0.05475,0.952524,-0.051482,0.20306
0,1283,0.0,0.33325,0.670374,-0.443135,0.107494
0,1285,0.0,0.084,0.91202,-0.099859,0.075804
0,1286,0.0,0.70225,0.306262,-1.333499,0.104448
0,1287,1.0,0.43575,0.444424,-0.922358,0.262044
0,1288,1.0,0.795,0.809532,-0.22437,0.036636
0,1289,0.0,0.288,0.722286,-0.359772,-0.023628
0,1290,1.0,0.62975,0.616935,-0.530605,0.188959
0,1291,1.0,0.90175,0.895101,-0.115298,0.043636
0,1292,1.0,0.637,0.629059,-0.510374,0.314335
0,1293,0.0,0.593,0.410532,-1.003427,0.236531
0,1294,0.0,0.27575,0.725275,-0.354698,0.02118
0,1296,1.0,0.75625,0.758085,-0.29611,0.265152
