	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[373,2]	0.079	0.0067	0.55	-0.81	0.085	0.96	6608.0	13.0	1.0
theta[374,2]	1.2	0.0068	0.62	0.26	1.2	2.3	8322.0	16.0	1.0
theta[375,2]	0.69	0.007	0.59	-0.25	0.68	1.7	6938.0	14.0	1.0
theta[376,2]	0.69	0.0078	0.66	-0.36	0.65	1.8	7219.0	14.0	1.0
theta[377,2]	0.1	0.0063	0.54	-0.77	0.089	1.0	7321.0	14.0	1.0
theta[378,2]	-0.38	0.0059	0.55	-1.3	-0.37	0.52	8735.0	17.0	1.0
theta[379,2]	1.2	0.008	0.7	0.041	1.1	2.3	7609.0	15.0	1.0
theta[380,2]	-1.7	0.0082	0.64	-2.8	-1.6	-0.73	6054.0	12.0	1.0
theta[381,2]	-1.1	0.0087	0.72	-2.3	-1.0	0.031	6785.0	13.0	1.0
theta[382,2]	0.47	0.0068	0.56	-0.43	0.46	1.4	6803.0	13.0	1.0
theta[383,2]	0.82	0.0069	0.6	-0.14	0.8	1.8	7735.0	15.0	1.0
theta[384,2]	-1.1	0.0066	0.55	-2.0	-1.1	-0.19	7039.0	14.0	1.0
theta[385,2]	-0.13	0.0068	0.56	-1.1	-0.13	0.79	6705.0	13.0	1.0
theta[386,2]	-0.041	0.0063	0.54	-0.91	-0.059	0.87	7444.0	15.0	1.0
theta[387,2]	-0.97	0.0089	0.74	-2.2	-0.93	0.17	6971.0	14.0	1.0
theta[388,2]	-0.29	0.0067	0.53	-1.2	-0.29	0.57	6288.0	12.0	1.0
theta[389,2]	-0.93	0.007	0.59	-2.0	-0.91	-0.029	6955.0	14.0	1.0
theta[390,2]	0.14	0.007	0.56	-0.76	0.14	1.1	6493.0	13.0	1.0
theta[391,2]	1.1	0.0068	0.61	0.086	1.1	2.1	8269.0	16.0	1.0
theta[392,2]	-1.4	0.0075	0.65	-2.6	-1.4	-0.42	7446.0	15.0	1.0
theta[393,2]	0.58	0.0072	0.59	-0.39	0.57	1.6	6759.0	13.0	1.0
theta[394,2]	1.2	0.0074	0.65	0.13	1.2	2.2	7581.0	15.0	1.0
theta[395,2]	-1.0	0.0087	0.73	-2.3	-0.97	0.11	7097.0	14.0	1.0
theta[396,2]	-0.21	0.0079	0.67	-1.4	-0.19	0.83	7083.0	14.0	1.0
theta[397,2]	-0.49	0.0073	0.58	-1.5	-0.46	0.41	6265.0	12.0	1.0
theta[398,2]	-0.69	0.0069	0.59	-1.7	-0.67	0.26	7406.0	15.0	1.0
theta[399,2]	1.3	0.0076	0.62	0.27	1.3	2.3	6714.0	13.0	1.0
theta[400,2]	-0.47	0.0066	0.55	-1.4	-0.48	0.47	6955.0	14.0	1.0
theta[401,2]	0.45	0.0078	0.58	-0.47	0.44	1.4	5472.0	11.0	1.0
theta[402,2]	-0.0066	0.0075	0.6	-0.95	-0.033	1.0	6371.0	13.0	1.0
theta[403,2]	-0.45	0.0065	0.57	-1.4	-0.44	0.47	7631.0	15.0	1.0
theta[404,2]	0.53	0.0069	0.57	-0.4	0.52	1.5	6771.0	13.0	1.0
theta[405,2]	1.5	0.0078	0.71	0.38	1.5	2.7	8283.0	16.0	1.0
theta[406,2]	-0.78	0.0099	0.79	-2.1	-0.74	0.44	6243.0	12.0	1.0
theta[407,2]	-0.2	0.007	0.55	-1.1	-0.2	0.73	6262.0	12.0	1.0
theta[408,2]	-0.21	0.0073	0.62	-1.3	-0.18	0.77	7206.0	14.0	1.0
theta[409,2]	0.061	0.0073	0.6	-0.89	0.039	1.1	6779.0	13.0	1.0
theta[410,2]	0.032	0.0071	0.63	-0.99	0.019	1.1	8009.0	16.0	1.0
theta[411,2]	-0.56	0.0076	0.63	-1.6	-0.55	0.42	6727.0	13.0	1.0
theta[412,2]	0.92	0.0077	0.66	-0.15	0.89	2.1	7410.0	15.0	1.0
theta[413,2]	0.43	0.0075	0.59	-0.55	0.43	1.4	6237.0	12.0	1.0
theta[414,2]	1.0	0.007	0.61	0.041	0.99	2.0	7474.0	15.0	1.0
theta[415,2]	-0.87	0.0096	0.75	-2.1	-0.84	0.32	6125.0	12.0	1.0
theta[416,2]	0.4	0.0071	0.57	-0.51	0.4	1.3	6413.0	13.0	1.0
theta[417,2]	0.88	0.0073	0.58	-0.056	0.85	1.9	6293.0	12.0	1.0
theta[418,2]	-0.72	0.008	0.66	-1.8	-0.7	0.32	6703.0	13.0	1.0
theta[419,2]	0.65	0.0072	0.62	-0.35	0.64	1.7	7352.0	14.0	1.0
