name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,490]	-0.785	0.00601	0.419	-1.52	-0.756	-0.151	4850.0	4.8	1.0
theta[2,490]	-0.188	0.00743	0.617	-1.24	-0.173	0.787	6909.0	6.84	1.0
theta[3,490]	-0.289	0.01	0.83	-1.7	-0.229	0.993	6879.0	6.81	0.999
theta[1,491]	1.07	0.0037	0.266	0.641	1.07	1.5	5179.0	5.13	1.0
theta[2,491]	-1.44	0.00671	0.575	-2.41	-1.44	-0.521	7338.0	7.27	0.999
theta[3,491]	-0.13	0.00581	0.456	-0.88	-0.119	0.599	6154.0	6.09	0.999
theta[1,492]	-0.182	0.00465	0.317	-0.713	-0.173	0.323	4640.0	4.6	1.0
theta[2,492]	0.211	0.0063	0.517	-0.656	0.219	1.06	6741.0	6.68	0.999
theta[3,492]	1.17	0.00575	0.437	0.446	1.17	1.87	5796.0	5.74	0.999
theta[1,493]	-1.8	0.00787	0.601	-2.83	-1.77	-0.869	5828.0	5.77	0.999
theta[2,493]	-0.337	0.00904	0.735	-1.58	-0.309	0.826	6612.0	6.55	0.999
theta[3,493]	-0.105	0.0105	0.928	-1.66	-0.0646	1.36	7816.0	7.74	1.0
theta[1,494]	1.58	0.00415	0.277	1.13	1.59	2.03	4457.0	4.41	1.0
theta[2,494]	-0.307	0.00652	0.486	-1.1	-0.31	0.505	5553.0	5.5	1.0
theta[3,494]	0.387	0.00622	0.475	-0.396	0.39	1.18	5827.0	5.77	1.0
theta[1,495]	-1.4	0.0067	0.499	-2.25	-1.38	-0.626	5553.0	5.5	1.0
theta[2,495]	-0.894	0.00853	0.737	-2.15	-0.875	0.281	7470.0	7.4	1.0
theta[3,495]	1.09	0.00938	0.681	-0.107	1.13	2.13	5279.0	5.23	1.0
theta[1,496]	-1.68	0.00799	0.571	-2.68	-1.64	-0.803	5110.0	5.06	1.0
theta[2,496]	0.0229	0.00889	0.691	-1.16	0.0451	1.15	6041.0	5.98	0.999
theta[3,496]	-0.112	0.0106	0.917	-1.67	-0.0845	1.34	7544.0	7.47	0.999
theta[1,497]	0.0843	0.0036	0.283	-0.398	0.0911	0.531	6155.0	6.1	1.0
theta[2,497]	1.21	0.00575	0.47	0.447	1.21	1.98	6665.0	6.6	1.0
theta[3,497]	-0.59	0.0102	0.737	-1.9	-0.529	0.505	5178.0	5.13	1.0
theta[1,498]	1.15	0.00373	0.266	0.712	1.15	1.58	5084.0	5.04	1.0
theta[2,498]	-0.418	0.00635	0.483	-1.23	-0.417	0.365	5791.0	5.74	1.0
theta[3,498]	-1.2	0.00879	0.629	-2.31	-1.14	-0.256	5134.0	5.08	1.0
theta[1,499]	-0.0215	0.00393	0.293	-0.517	-0.00736	0.451	5544.0	5.49	1.0
theta[2,499]	-0.536	0.00667	0.558	-1.48	-0.516	0.346	7000.0	6.93	0.999
theta[3,499]	-0.554	0.0101	0.752	-1.91	-0.48	0.56	5598.0	5.54	1.0
theta[1,500]	0.542	0.00385	0.265	0.112	0.544	0.972	4747.0	4.7	1.0
theta[2,500]	0.148	0.00601	0.498	-0.709	0.159	0.94	6853.0	6.79	1.0
theta[3,500]	0.128	0.00663	0.47	-0.658	0.144	0.861	5019.0	4.97	0.999
theta[1,501]	-0.141	0.00433	0.31	-0.668	-0.13	0.348	5121.0	5.07	0.999
theta[2,501]	1.22	0.00631	0.466	0.465	1.21	2.01	5449.0	5.4	1.0
theta[3,501]	0.651	0.00647	0.471	-0.141	0.665	1.41	5284.0	5.23	1.0
theta[1,502]	-0.541	0.00517	0.377	-1.22	-0.519	0.0321	5315.0	5.26	0.999
theta[2,502]	0.15	0.00693	0.564	-0.816	0.164	1.04	6617.0	6.55	0.999
theta[3,502]	-0.335	0.0102	0.789	-1.73	-0.272	0.892	5982.0	5.92	1.0
theta[1,503]	-1.0	0.00637	0.466	-1.82	-0.965	-0.305	5364.0	5.31	0.999
theta[2,503]	-0.68	0.0084	0.694	-1.85	-0.65	0.405	6816.0	6.75	0.999
theta[3,503]	-0.235	0.0101	0.844	-1.68	-0.209	1.09	6992.0	6.92	1.0
theta[1,504]	-1.02	0.00624	0.452	-1.81	-0.99	-0.336	5247.0	5.2	1.0
theta[2,504]	0.68	0.00714	0.545	-0.216	0.68	1.57	5820.0	5.76	1.0
