name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,166]	0.667	0.00509	0.29	0.186	0.669	1.14	3234.0	0.569	1.0
theta[2,166]	-0.2	0.0101	0.676	-1.4	-0.151	0.84	4481.0	0.788	1.0
theta[3,166]	0.567	0.0115	0.757	-0.653	0.557	1.84	4329.0	0.761	1.0
theta[4,166]	0.234	0.0116	0.726	-0.988	0.279	1.4	3895.0	0.685	1.0
theta[5,166]	0.222	0.00786	0.542	-0.657	0.216	1.12	4750.0	0.835	1.0
theta[6,166]	0.441	0.0114	0.785	-0.783	0.392	1.81	4743.0	0.834	1.0
theta[7,166]	-0.759	0.0108	0.709	-2.03	-0.702	0.306	4290.0	0.754	1.0
theta[8,166]	0.103	0.00847	0.618	-0.827	0.06	1.17	5336.0	0.938	1.0
theta[9,166]	0.706	0.00703	0.449	-0.0766	0.729	1.39	4073.0	0.716	0.999
theta[10,166]	1.81	0.00906	0.583	0.882	1.8	2.76	4148.0	0.729	0.999
theta[11,166]	-0.0119	0.0125	0.997	-1.66	-0.0236	1.63	6339.0	1.11	0.999
theta[1,167]	0.249	0.00561	0.308	-0.261	0.25	0.743	3013.0	0.53	1.0
theta[2,167]	-0.535	0.0121	0.809	-1.94	-0.498	0.753	4502.0	0.791	1.0
theta[3,167]	0.658	0.0109	0.733	-0.554	0.654	1.88	4543.0	0.799	1.0
theta[4,167]	-0.241	0.0118	0.861	-1.71	-0.214	1.15	5339.0	0.939	0.999
theta[5,167]	1.61	0.00963	0.67	0.562	1.56	2.79	4842.0	0.851	0.999
theta[6,167]	-0.904	0.0115	0.694	-2.05	-0.89	0.224	3636.0	0.639	1.0
theta[7,167]	0.354	0.0078	0.512	-0.519	0.385	1.15	4316.0	0.759	1.0
theta[8,167]	0.109	0.00785	0.58	-0.792	0.0776	1.12	5468.0	0.961	0.999
theta[9,167]	1.46	0.00606	0.413	0.798	1.45	2.14	4640.0	0.816	1.0
theta[10,167]	-0.414	0.0107	0.819	-1.85	-0.363	0.826	5830.0	1.03	1.0
theta[11,167]	-0.0519	0.0128	1.01	-1.74	-0.0601	1.6	6183.0	1.09	1.0
theta[1,168]	-1.43	0.00899	0.542	-2.37	-1.4	-0.585	3627.0	0.638	1.0
theta[2,168]	-0.143	0.0141	0.963	-1.75	-0.118	1.38	4662.0	0.82	1.0
theta[3,168]	0.228	0.0134	0.865	-1.24	0.259	1.64	4149.0	0.729	1.0
theta[4,168]	-0.061	0.0139	0.982	-1.72	-0.044	1.55	4973.0	0.874	1.0
theta[5,168]	0.429	0.00812	0.56	-0.49	0.422	1.37	4767.0	0.838	1.0
theta[6,168]	-0.263	0.013	0.881	-1.76	-0.235	1.12	4578.0	0.805	1.0
theta[7,168]	-0.148	0.0123	0.858	-1.61	-0.0907	1.21	4866.0	0.855	1.0
theta[8,168]	-0.842	0.0105	0.691	-2.04	-0.797	0.221	4337.0	0.762	1.0
theta[9,168]	-0.0883	0.0121	0.882	-1.6	-0.0534	1.29	5294.0	0.931	0.999
