sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
48,9,18,31,32,26,38,34,32,30,33,25,27,25,29,20,18,18,22,15,18,14,9,6,9,6,9,5,4,2,4,3,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,14,22,25,28,28,29,31,38,24,27,36,31,28,32,21,20,21,9,14,14,11,15,10,6,7,7,6,6,6,3,1,3,1,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
50,13,22,27,31,34,41,29,17,28,34,22,26,26,29,16,27,27,26,8,10,13,12,8,8,10,10,10,4,2,2,2,1,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,11,23,24,24,37,39,36,27,31,28,26,34,22,22,13,21,26,21,11,16,10,13,6,14,10,6,6,4,1,5,3,3,1,2,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
52,7,23,38,31,32,32,25,35,32,32,21,17,22,21,32,29,17,26,13,15,14,6,7,13,7,6,4,5,2,1,4,1,5,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53,8,30,24,26,30,41,35,39,26,26,28,25,23,18,24,17,20,20,21,16,13,10,14,6,3,7,6,4,3,5,3,2,1,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,17,23,26,28,26,34,36,37,23,34,25,31,20,28,22,23,22,21,16,10,6,7,16,6,10,10,5,2,4,2,3,2,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,13,17,28,38,44,31,25,32,22,19,29,23,29,25,21,29,15,17,17,15,9,16,17,7,9,5,3,4,3,6,3,1,3,2,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
56,11,24,20,28,35,33,32,38,23,34,34,32,25,26,18,25,17,21,12,11,13,12,4,10,5,6,5,6,5,2,3,3,2,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,12,23,21,36,39,20,32,40,33,26,34,25,26,18,24,25,18,19,12,15,13,10,9,5,9,4,7,9,2,1,2,4,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
